QUEST_LV_0200_20150317_000001	Philipas' Soldier	Philip's Soldiers
QUEST_LV_0200_20150323_005477	You've collected enough oothecas. Hand them over to Investigator Monahan.	Kamu berhasil mengumpulkan cukup oothecas. Serahkan semuanya ke Investigator Monahan.
QUEST_LV_0200_20150323_005478	Collect %s from the Grape Vines	Kumpulkan %s dari grape vine
QUEST_LV_0200_20150323_005479	The most special thing among the special things	Hal yang paling istimewa diantara yang lainnya
QUEST_LV_0200_20150323_005480	Talk to Farm Supervisor Dorn	Bicaralah dengan Doron, pengawas pertanian
QUEST_LV_0200_20150323_005481	It seems that Dorn is not happy with your visit. Listen to the requests of Farm Supervisor Dorn.	Sepertinya Doron tidak suka dengan kedatanganmu. Dengarkan permintaan Supervisor Doron.
QUEST_LV_0200_20150323_005482	Defeat drakes and collect the horns as a proof	Kalahkan drakes dan kumpulkan horns sebagai bukti
QUEST_LV_0200_20150323_005483	The supervisor, Dorn told you that you should do something in order to enter into the farm. Defeat Drakes and collect the horns of the drakes as a proof.	Supervisor Doron mengatakan padamu bahwa sebaiknya dia melakukan sesuatu untuk masuk ke dalam pertanian. Kalahkan Drakes dan Kkmpulkan horns of the drakes sebagai bukti.
QUEST_LV_0200_20150323_005484	Hand them over to Farm Supervisor Dorn	Serahkan semuanya ke Supervisor Doron
QUEST_LV_0200_20150323_005485	You've collected all the pieces of the Drake's horns. Hand them over to Dorn.	Kamu berhasil mengumpulkan seluruh Drake's horns. Serahkan semuanya ke Doron.
QUEST_LV_0200_20150323_005486	Collect %s by defeating Drakes	Kumpulkan %s dengan mengalahkan Drakes
QUEST_LV_0200_20150323_005487	Farm Supervisor Dorn seems to be satisfied with your skills. Ask him about the whereabouts of the druid.	Doron sepertinya puas dengan kemampuan kamu. Tanyakan Doron tentang keberadaan Druid.
QUEST_LV_0200_20150323_005488	Search through the sacks of grain that are scattered across the farm	Cari melalui sack grains yang tersebar di seluruh pertanian
QUEST_LV_0200_20150323_005489	Dorn wants you to retrieve the sacks of grain that the soldiers stole as a return for letting you know the whereabout of Druid. Search through the old wagon or wooden boxes.	Doron ingin kamu mengembalikan sacks of the grains yang dicuri prajurit sebagai pembayaran untuk mengetahui dimana lokasi si Druid. Cari di sekitar old wagon atau wooden boxes.
QUEST_LV_0200_20150323_005490	You have found all the sacks of grain. Hand them over to Farm Supervisor Dorn and ask him about the whereabouts of the druid.	Kamu berhasil menemukan seluruh sacks of the grains. Serahkan semuanya ke Doron dan tanyakan padanya tentang keberadaan Druid.
QUEST_LV_0200_20150323_005491	Search through %s in various places on the farm	Cari %s di berbagai tempat di pertanian
QUEST_LV_0200_20150323_005492	You have completed all the requests of Farm Supervisor Dorn. Ask him again the whereabouts of the druid.	Kamu berhasil menyelesaikan seluruh permintaan Doron. Tanya lagi padanya dimana keberadaan Druid.
QUEST_LV_0200_20150323_005493	Talk to Druid Martinek	Bicaralah dengan Druid Martineque
QUEST_LV_0200_20150323_005494	Dorn drove the druid deep into the farm. Go to Neshiva Road to find Druid Martinek.	Doron mengantarkan salah satu druid ke dalam pertanian. Pergilah ke Neshiba Highway untuk menemukan Druid Martineque.
QUEST_LV_0200_20150323_005495	Druid Martinek seems be in a hurry. You've found Druid Martinek as Druid Ellie requested. Talk to him.	Druid Martineque terlihar tergesa-gesa. Kamu berhasil menemuka Druid Martineque seperti permintaan Druid Elly. Bicaralah dengannya.
QUEST_LV_0200_20150323_005496	Cure the poisoned farmers	Sembuhkan addicted farmer
QUEST_LV_0200_20150323_005497	Druid Martinek told you that there are farmers who are exposed to the poison at Zirta Brewery and Gausa Workplace. Give them the antidote.	Druid Martineque mengatakan padamu bahwa beberapa farmer telah terekspos oleh racun di Jireta brewery dan Gausa workplace. Berikan mereka antidote.
QUEST_LV_0200_20150323_005498	You have saved all the poisoned farmers. Return to Druid Martinek and tell him about it.	Kamu berhasil menyelamatkan seluruh addicted farmers.Ceritakan semuanya ke Druid Martineque.
QUEST_LV_0200_20150323_005499	Since you've saved all the poisoned farmers, you can now continue with your original errand. Talk to Druid Martinek.	Karena kamu berhasil menyelamatkan seluruh addicted farmers, sebaiknya kamu mengatakan permintaan kamu yang sebenarnya. Bicaralah dengan Druid Martineque.
QUEST_LV_0200_20150323_005500	Bring winged frogs with the help of the obedience stick	Bawalah winged frogs dengan bantuan obedience stick
QUEST_LV_0200_20150323_005501	Reduce the HP of the winged frog and use the controlling stick to take it to Druid Martinek.	Kurangi HP winged frogs dan gunakan obedience stick untuk membawanya ke Druid Martineque
QUEST_LV_0200_20150323_005502	You handed over enough frogs to Druid Martinek. Talk to Druid Martinek.	Kamu menyerahkan semua frog ke Druid Martineque. Bicaralah dengan Druid Martineque.
QUEST_LV_0200_20150323_005503	Druid Martinek successfully endowed vital energy to the old seeds. Now, talk to Druid Martinek over what you should do next.	Druid Martineque berhasil memberkati old seed dengan energy of the vitality. Sekarang, bicaralah dengan Druid Martineque tentang apa yang harus kamu lakukan selanjutnya.
QUEST_LV_0200_20150323_005504	Get some water from the well at Gausa Workplace	Bawalah air dari sumur di Gausa workplace
QUEST_LV_0200_20150323_005505	Druid Martinek is telling you that he needs clean water, but that's problematic because of the polluted nearby environment. Bring water from the well at Gausa Workplace with the bowl that Druid Martinek gave you.	Druid Martineque mengatakan padamu bahwa dia membutuhkan clean water, tapi sangat susah karena lingkungan sekitar sudah tercemar. Bawakan air dari sumur di Gausa workplace dengan piring yang diberikan oleh Druid Martineque kepadamu.
QUEST_LV_0200_20150323_005506	Hand it over to Druid Martinek	Serahkan semuanya ke Druid Matineque
QUEST_LV_0200_20150323_005507	You successfully obtained water from the well at Gausa Workplace. Hand it over to Druid Martinek.	Kamu berhasil mendapatkan water of the well di dekat Gausa workplace. Serahkan semuanya ke Druid Martineque.
QUEST_LV_0200_20150323_005508	You are now ready to restore the old seeds. Talk to Druid Martinek.	Sekarang kamu sudah siap untuk memulihkan old seeds. Bicaralah dengan Druid Martineque.
QUEST_LV_0200_20150323_005509	Go to the reservoir district of Shaton	Pergilah ke reservoir district of Shaton
QUEST_LV_0200_20150323_005510	Druid Martinek told you that he will try persuading the owner of the farm, Gord Shaton, to plant the seeds. Meet Druid Martinek at the Shaton Reservoir.	Druid Martineque mengatakan padamu bahwa dia akan membujuk pemilik Shaton Farm untuk menanam benihnya. Temui Druid Martineque di reservoir district of Shaton.
QUEST_LV_0200_20150323_005511	Talk with Farm Soldier Gedson	Bicaralah dengan Private soldier  of the Gedson Farm
QUEST_LV_0200_20150323_005512	Farm Soldier Gedson is mad at you. Talk to him to find out.	Gedson marah padamu. Bicaralah dengan Gedson apa yang terjadi.
QUEST_LV_0200_20150323_005513	Defeat Cysts	Kalahkan Cist
QUEST_LV_0200_20150323_005514	Gedson told you to help him, or else you can't enter the farm without his permission. Defeat the nearby Cysts.	Gedson mengatakan padamu untuk membantu dia karena kamu tidak dapat masuk ke pertanian tanpa izin dari Gedson. Kalahkan Cist di sekitar.
QUEST_LV_0200_20150323_005515	You've defeated all the Cysts. Tell Farm Soldier Gedson.	Kamu berhasil mengalahkan seluruh Cists. Katakan kepada Private soldier  Gedson Farm.
QUEST_LV_0200_20150323_005516	Farm Soldier Gedson still has some tasks to request of you. Talk to Gedson again.	Private soldier Gedson masih mempunyai beberapa tugas untukmu. Bicaralah dengan Gedson lagi.
QUEST_LV_0200_20150323_005517	Defeat green drake	Kalahkan green drake
QUEST_LV_0200_20150323_005518	The private soldier, Gedson wants you to defeat green drakes. Defeat drakes at Ishikla farm road.	Private soldier Gedson ingin kamu mengalahkan green drakes. Kalahkan drakes di Ishikla farm road.
QUEST_LV_0200_20150323_005519	You've defeated all drakes. Tell this to the private soldier, drake.	Kamu berhasil mengalahkan seluruh drakes. Ceritakan ini pada Private soldier Gedson.
QUEST_LV_0200_20150323_005520	Talk to Tenant Farmer Charlotte	Bicaralah dengan Tenant Charlotte
QUEST_LV_0200_20150323_005521	Tenant Farmer Charlotte is desperately looking for your help. Listen to her story.	Tenant Charlotte sangat membutuhkan bantuanmu. Dengarkan cerita dia.
QUEST_LV_0200_20150323_005522	Sprinkle the weed killer on the grape vine	Terbarkan weed killer diatas grape vine
QUEST_LV_0200_20150323_005523	It is so horrible to plant the polluted grapes anymore. Sprinkle the weed killer on the polluted grapes.	Apa yang terjadi pada polluted grapes sangat mengerikan. }Terbarkan weed killer diatas polluted grape.
QUEST_LV_0200_20150323_005524	You've ruined the grape vine enough. Return to Tenant Charlotte.	Kamu berhasil merusak cukup grape vine. Kembalilah ke Tenant Charlotte.
QUEST_LV_0200_20150323_005525	Tenant Farmer Charlotte looks serious. Ask her what happened.	Tenant Charlotte terlihat serius. Tanyakan padanya apa yang terjadi.
QUEST_LV_0200_20150323_005526	Defeat gray Chupacabra	Kalahkan gray Chupacabra
QUEST_LV_0200_20150323_005527	Charlotte told you that many Chupacabras are gathered in front of the polluted grapes due to their smell. Defeat Chupacabras that are coming out from the vines.	Charlotte mengatakan padamu bahwa banyak Chupacabras berkumpul di depan polluted grapes karena baunya. Kalahkan Chupacabras yang datang ke vines.
QUEST_LV_0200_20150323_005528	You've defeated most of the Chupacabras. Return to Tenant Charlotte.	Kamu berhasil mengalahkan sebagian besar Chupacabras. Kembalilah ke Tenant Charlotte.
QUEST_LV_0200_20150323_005529	Defeat Chupacabras	Kalahkan Chupacabras
QUEST_LV_0200_20150323_005530	Talk to Louise	Bicaralah dengan Louise
QUEST_LV_0200_20150323_005531	Louise seems to be in a trouble. Talk to Louise.	Louise terlihat dalam masalah. Bicaralah dengan Louise.
QUEST_LV_0200_20150323_005532	Defeat Tontus at Giruta brewery	Kalahkan Tontus di Giruta brewery
QUEST_LV_0200_20150323_005533	Louise has to go to Giruta brewery, but he can't go because of the monsters. Defeat Tontus near Giruta brewery.	Louise harus pergi ke Giruta brewery, tapi dia tidak dapat pergi karena monster-monster itu. Kalahkan Tontus di dekat Giruta brewery.
QUEST_LV_0200_20150323_005534	You've defeated many Tontuses. Return to Louise.	Kamu berhasil mengalahkan banyak Tontuses. Kembalilah ke Louise.
QUEST_LV_0200_20150323_005535	Defeat Tontus	Kalahkan Tontus
QUEST_LV_0200_20150323_005536	The tenant, Louise has one more request. Talk to Louise again.	Tenant Louise mempunyai 1 permintaan lagi. Bicaralah dengan Louise lagi.
QUEST_LV_0200_20150323_005537	Obtain the seed pouch from the old bag	Dapatkan pockets of the seeds dari old luggages
QUEST_LV_0200_20150323_005538	Louise hid the seeds that he secretly grew, but he can't take them due to the monsters. Please look for the pockets of seeds that belong to Louise at the Farm Plaza.	Louise menyembunyikan seeds yang akan dia tanam secara rahasia, tapi dia tidak dapat mengambilnya karena monster-monster itu. Tolong cari pockets of seeds milik Louise di farm square.
QUEST_LV_0200_20150323_005539	Hand them over to Louise	Serahkan semuanya ke Louise
QUEST_LV_0200_20150323_005540	You've found the pockets of the seeds that belong to Louise. Hand them over to Louise.	Kamu berhasil menemuka pockets of the seeds milik Louise. Serahkan semuanya ke Louise.
QUEST_LV_0200_20150323_005541	Search for %s at the Farm Plaza	Cari %s di farm square
QUEST_LV_0200_20150323_005542	It seems that Druid Martinek failed to persuade Gord Shaton. Talk to him again about what happened.	Sepertinya Druid Martineque gagal membujuk Gorde Shaton. Bicaralah dengannya lagi apa yang terjadi.
QUEST_LV_0200_20150323_005543	Talk to Gord Shaton	Bicaralah dengan Gorde Shaton
QUEST_LV_0200_20150323_005544	Druid Martinek told you that he may listen to the words of the Revelator. Persuade Gord Shaton directly.	Druid Martineque mengatakan padamu bahwa dia akan mendengarkan perkataan Savior. Bujuk Gorde Shaton secara langsung.
QUEST_LV_0200_20150323_005545	Talk to Vanessa Shaton	Bicaralah dengan Vanessa Shaton
QUEST_LV_0200_20150323_005546	Druid Martinek told you that if you fail to persuade Gord Shaton, meet his daughter. Meet Vanessa Shaton and persuade her.	Druid Martineque mengatakan padamu bahwa jika kamu gagal membujuk Gorde Shaton, temuilah anak perempuannya. Temui Vanessa Shaton dan bujuklah dia.
QUEST_LV_0200_20150323_005547	Look for the traces of Shaton's son at the underground tunnel	Cari jejak Shaton's son di underground tunnel
QUEST_LV_0200_20150323_005548	Vanessa Shaton told you that you may persuade Gord Shaton with the necklace of her lost brother. You can find the necklace from the underground tunnel that is twisted like a maze.	Vanessa Shaton mengatakan padamu bahwa kamu dapat membujuk Gorde Shaton dengan necklace of the lost brother. You dapat mencari necklace itu di underground tunnel yang sangat berputar-putar seperti labirin.
QUEST_LV_0200_20150323_005549	Hand it over to Vanessa Shaton	Serahkan semuanya ke Vanessa Shaton
QUEST_LV_0200_20150323_005550	You've found the necklace that seems to be belong to Shaton Family. Hand it over to Vanessa Shaton.	Kamu berhasil menemukan necklace yang sepertinya milik Shaton Family. Serahkan semuanya ke Vanessa Shaton.
QUEST_LV_0200_20150323_005551	Search for %s in the underground tunnel of the farm	Cari %s di underground tunnel of the farm
QUEST_LV_0200_20150323_005552	Gord Shaton frowned after seeing his son's necklace. Talk to Gord Shaton.	Gorde Shaton mengerutkan kening setelah melihat necklace anaknya. Bicaralah dengan Gorde Shaton.
QUEST_LV_0200_20150323_005553	Defeat Lauzinute	Kalahkan Lauzinute
QUEST_LV_0200_20150323_005554	Gord Shaton has gone mad after seeing the necklace. To calm him down, you better defeat the monsters in the underground tunnel.	Gorde Shaton menjadi gila setelah melihat necklace itu. Untuk menenangkannya, sebaiknya kamu mengalahkan monster-monster di underground tunnel.
QUEST_LV_0200_20150323_005555	You defeated the monsters at the underground tunnel. Report to Gord Shaton.	Kamu mengalahkan monster-monster yang mengacau di underground tunnel. Lapor ke Gorde Shaton.
QUEST_LV_0200_20150323_005556	It seems that Gord Shaton is planning something. Talk to Gord Shaton so he can calm down again.	Sepertinya Gorde Shaton sedang merencanakan sesuatu. Bicaralah dengan Gorde Shaton agar dia bisa tenang lagi.
QUEST_LV_0200_20150323_005557	Defeat the summoned monsters	Kalahkan summoned monsters
QUEST_LV_0200_20150323_005558	Gord Shaton summoned monsters that he claimed he bought at Fedimian, but the monsters were not obedient and started to attack. Defeat all summoned monsters.	Gorde Shaton memanggil monster yang dia katakan dia beli dari Fedimian, tapi monster-monster itu tidak mau mendengarkan dia dan mulai menyerang. Kalahkan semua summoned monsters.
QUEST_LV_0200_20150323_005559	Gord Shaton realized something as he saw the monsters attacking him. Talk to Gord Shaton.	Gorde Shaton menyadari sesuati saat dia melihat monster yang menyerang dia. Bicaralah dengan Gorde Shaton.
QUEST_LV_0200_20150323_005560	Gord Shaton will pass his duty of managing the farm to his daughter Vanessa. Talk to Druid Martinek about it.	Gorde Shaton akan memberikan tugas mengatur pertanian kepada Vanessa. Bicaralah dengan Druid Martineque tentang hal itu.
QUEST_LV_0200_20150323_005561	Druid Martinek asked you to talk to Vanessa Shaton about what to do from now on. Meet Vanessa Shaton.	Druid Martineque memintamu berbicara dengan Vanessa Shaton tentang apa yang akan dilakukan mulai sekarang. Temui Vanessa Shaton.
QUEST_LV_0200_20150323_005562	Vanessa Shaton promised you that she will support large scale purification. Tell this to Druid Martinek.	Vanessa Shaton berjanji padamu bahwa dia akan membantu proses purifikasi massive scale. Sampaikan pada Druid Martineque.
QUEST_LV_0200_20150323_005563	Talk to Steward Valen	Bicaralah dengan steward, Baren
QUEST_LV_0200_20150323_005564	Steward Valen needs your help. Talk to Valen.	Sang Steward, Baren membutuhkan bantuanmu. Bicaralah dengan Baren.
QUEST_LV_0200_20150323_005565	Defeat Green Carcashu	Kalahkan green Carcashu
QUEST_LV_0200_20150323_005566	Joel is worried about the Carcashu's irregular occurrences. Let's reduce the number of Carcashus and let's adjust the balance of the nature.	Joel khawatir mengenai bertambahnya jumlah Carcashu yang tidak normal. Mari kurangi jumlah Carcashus agar keseimbangan alam tercapai.
QUEST_LV_0200_20150323_005567	You've defeated enough Carcashus. Let's go back to Joel.	Kamu telah mengalahkan cukup Carcashus. Marilah kembali ke Joel.
QUEST_LV_0200_20150323_005568	Valen needs your help. Talk to Valen.	Baren membutuhkan pertolonganmu. Bicaralah dengan Baren.
QUEST_LV_0200_20150323_005569	Find Valen's medicine bags	Periksa kantung obat-obatan
QUEST_LV_0200_20150323_005570	Valen ordered people to purchase medicine from Klaipeda, but they were attacked by monsters and barely managed to survive. Please find the bags of the medicine on behalf of Valen.	Baren memerintahkan seseorang untuk membeli obat dari Klaipeda, tetapi dia diserang oleh monster dan susah payah bertahan. Tolong temukan kantung pengobatan atas nama Baren.
QUEST_LV_0200_20150323_005571	Hand it over to Steward Valen	Serahkan kepada Baren
QUEST_LV_0200_20150323_005572	You've found all the medicine bags. Hand it over to Valen.	Kamu telah menemukan kantung pengobatan. Serahkan kepada Baren.
QUEST_LV_0200_20150323_005573	Talk to General Buros	Bicaralah dengan Broknews
QUEST_LV_0200_20150323_005574	General Buros is looking for someone who would help with his task. Talk to General Buros.	Broknews mencari seseorang yang sanggup mengerjakan tugas darinya. Bicaralah dengan Broknews.
QUEST_LV_0200_20150323_005575	Defeat Lauzinute across the underground tunnel	Kalahkan Lauzinute diseberang lorong bawah tanah
QUEST_LV_0200_20150323_005576	General Buros doesn't want to go into the underground tunnel because it's too scary. Defeat the monsters on behalf of General Buros.	Broknews tidak ingin pergi ke lorong bawah tanah karena terlalu menakutkan. Kalahkan monsters atas nama' Broknews.
QUEST_LV_0200_20150323_005577	You've defeated all the monsters. Talk to General Buros.	Kamu telah mengalahkan semua monsters. Bicaralah dengan Broknews.
QUEST_LV_0200_20150323_005578	Buros seems grim. Talk to Buros.	Buros tampaknya sedang serius. Bicaralah dengan Buros.
QUEST_LV_0200_20150323_005579	Defeat Scorpio near the tower of Wind Vane Tower	Kalahkan Scorpio didekat menara jam cuaca
QUEST_LV_0200_20150323_005580	Buros told you that Scorpio appeared again because you went too crazy. Defeat Scorpio near the tower of the Wind Vane Tower.	Buros mengatakan padamu bahwa Scorpio muncul kembali karena sikapmu yang kelewatan. Kalahkan Scorpio di dekat menara jam cuaca.
QUEST_LV_0200_20150323_005581	You've defeated Scorpio. Report to Buros.	Kamu telah mengalahkan Scorpio. Laporlah kepada Buros.
QUEST_LV_0200_20150323_005582	Talk to Oliver	Bicaralah dengan Oliver
QUEST_LV_0200_20150323_005583	It seems that Oliver came to this farm to look for something. Let's listen from him what he is trying to obtain.	Tampaknya Oliver datang ke pertanian ini untuk mencari sesuatu. Marilah dengarkan apa sedang dicarinya.
QUEST_LV_0200_20150323_005584	Obtain the leaves of Biterose	Dapatkan daun Biterose
QUEST_LV_0200_20150323_005585	Oliver wants the leaves of Biterose. Let's receive the compensation after helping with the save.	Oliver menginginkan daun Biterose. Kamu akan mendapatkan reward setelah menolongnya.
QUEST_LV_0200_20150323_005586	You've collected enough leaves so Oliver would be satisfied. Let's return to him.	Kamu sudah mengumpulkan cukup daun untuk memenuhi permintaan Oliver. Bicaralah padanya.
QUEST_LV_0200_20150323_005587	Talk with Farm Soldier Upham	Bicaralah dengan tentara, Upham
QUEST_LV_0200_20150323_005588	You've found Farm Soldier Upham, who is sitting down alone at the Wind Vane Tower. Ask him why he is sitting there alone.	Kamu telah menemukan tentara bayaran di pertanian, Upham yang duduk sendirian di menara jam cuaca. Dengarkan mengapa dia duduk sendirian disana.
QUEST_LV_0200_20150323_005589	Escort Farm Soldier Upham to a safe place	Kawal Upham ke tempat yang aman
QUEST_LV_0200_20150323_005590	Upham was separated from his colleagues due to monster attack. Please take Upham to the Farm Assembly Hall where General Buros is at.	Upham terpisah dari teman-temannya karena serangan para monster. Bawalah Upham ke tempat pertemuan di pertanian dimana Broknews berada.
QUEST_LV_0200_20150323_005591	You've took Upham to General Buros. Talk with General Buros.	Kamu sudah membawa Upham ke Broknews. Bicara dengan Broknews.
QUEST_LV_0200_20150401_005592	How should we know what the baron's thinking?{nl}All he told us was to behave well when the Revelator came...{nl}We're just doing the work he told us to do.{nl}	Bagaimana kita mengerahui pemikiran seorang baron.{nl}Dia mengatakan kita harus bersikap sopan saat Savior datang maka kami hanya mengerjakan tugas seperti yang dia minta.{nl}
QUEST_LV_0200_20150401_005593	Well, if you go see the baron yourself, you may find out.{nl}He is working on something big at Myrkiti Farm, so why don't you go meet him?	Mungkin kalau kamu menemui sendiri sang baron, kamu akan mengetahui sesuatu.{nl}Dia sedang mengerjakan hal besar di pertanian Mirukiti, jadi mengapa kamu tidak pergi menemuinya?
QUEST_LV_0200_20150401_005594	I have to tie the sacks of grain, but I don't have enough rope.{nl}I am sure that the monsters nearby took them. Please get some tight rope for me.	Aku harus mengikat karung gandum tetapi tidak memiliki cukup tali.{nl}Pastilah monster di dekat sini mengambilnya. Tolong carilah tali yang cukup kuat untukku.
QUEST_LV_0200_20150401_005595	Oh, ignore what the workers around here say.{nl}They are whining.	Ah, jangan pedulikan perkataan orang.{nl}Mereka bisanya mengeluh saja.
QUEST_LV_0200_20150401_005596	Good. {nl}Now the task here is completed.	Bagus. {nl}Kini semua tugas di tempat ini telah terselesaikan.
QUEST_LV_0200_20150401_005597	Hey, are you the Revelator?{nl}Then I welcome you. The baron told me to treat you well.{nl}	Hei, Apakah kamu seorang Savior?{nl}Maka aku menyambutmu. Baron berkata harus melayani kamu baik-baik.{nl}
QUEST_LV_0200_20150401_005598	There is a small task you can do.{nl}We don't have enough hands here. No, I am not talking about farming.{nl}	Ada tugas kecil yang dapat kamu kerjakan.{nl}Kami tidak memiliki cukup tenaga disini. Ah, Aku tidak membicarakan mengenai bertani.{nl}
QUEST_LV_0200_20150401_005599	Something seems to be moving in the sacks.	Sesuatu tampaknya bergerak di dalam kantung.
QUEST_LV_0200_20150401_005600	I request that you finish the rest.{nl}There are some abandoned sacks at Tvora Road. I want you to take care of them.	Aku memintamu menyelesaikan sisanya.{nl}Ada beberapa kantung yang terbengkalai di Tvora Highway. Aku ingin kamu melengkapinya.
QUEST_LV_0200_20150401_005601	We don't have enough workforce.{nl}Of course, the biggest reason is that the workers here are not working hard.{nl}	Kami tidak memiliki cukup tenaga disini.{nl}Tentu, alasan terbesarnya ialah pekerja disini tidak giat bekerja.{nl}
QUEST_LV_0200_20150401_005602	That garbage came from other farms due to the lack of workforce.{nl}But, I don't understand why they have to be taken care of here.	Sampah itu datang dari pertanian lain karena kita kekurangan tenaga kerja.{nl}Tetapi, aku tidak mengerti mengapa.
QUEST_LV_0200_20150401_005603	You can bury them under the ground or push them off from the cliff.{nl}I've been doing that 'til now.	Kamu dapat menguburkannya dibawah tanah atau mendorongnya dari tepi gunung.{nl}Aku masih melakukannya sampai saat ini.
QUEST_LV_0200_20150401_005604	Why are you back again?{nl}Did you see something that you shouldn't have seen?	Mengapa kamu kembali kesini lagi.{nl}Kamu melihat hal yang seharusnya tidak kamu lihat?
QUEST_LV_0200_20150401_005605	Save me!{nl}Please, save me..	Tolong aku!{nl}Tolong, selamatkan aku..
QUEST_LV_0200_20150401_005606	I feel light headed. Please get me something to eat..{nl}I hid some food in the bushes a long time ago while I was working.	Aku pusing. Tolong carikan aku sesuatu untuk dimakan..{nl}Aku menyembunyikan makanan di semak-semak beberapa waktu lalu saat aku sedang bekerja.
QUEST_LV_0200_20150401_005607	I'm not sure. I was working like I usually do, and then I went upstairs... {nl}Something strange happened... It became dark...{nl}	Aku bekerja seperti biasanya hari ini lalu pergi ke lantai atas.. {nl}Aneh.. Tiba-tiba pandanganku menjadi gelap..{nl}
QUEST_LV_0200_20150401_005608	I don't know what happened.	Aku tidak tahu apa yang terjadi.
QUEST_LV_0200_20150401_005609	What happened to all the people who were with me..{nl}Just what the hell happened..	Apa yang terjadi dengan orang yang berada bersamaku..{nl}Apa yang terjadi sebenarnya..
QUEST_LV_0200_20150401_005610	Thank you.{nl}I should recover some energy after eating this...	Terima kasih. {nl}Seharusnya energiku pulih setelah memakannya..
QUEST_LV_0200_20150401_005611	Soldier Stepas	Private soldier, Stephas
QUEST_LV_0200_20150401_005612	Are you the supporting workforce? No? {nl}We don't have enough workforce so I want to ask someone to help us.{nl}	Apakah kamu bala bantuannya? tidak. {nl}Kami tidak memiliki cukup tenaga kerja jadi aku ingin meminta bantuan setiap orang untuk membantu.{nl}
QUEST_LV_0200_20150401_005613	I need to distribute a nutritious tonic that the baron gave to me.{nl}But since this is undiluted, I should mix something into it.	Aku akan menyebarkan tonik bernutrisi yang diberikan baron padamu.{nl}Tetapi,karena belum disuling kita harus mencampur sesuatu dengannya.
QUEST_LV_0200_20150401_005614	The relationship between the farmer and the private soldier is always the same.{nl}One side works and the other side manages it.{nl}	Hubungan antara petani dan kopral memang selalu sama.{nl}Satu sisi bekerja dan sisi lain mengaturnya.{nl}
QUEST_LV_0200_20150401_005615	Plus, it's the baron's orders,{nl}Even if he wants to share more, he can't. That's why I think their relationship is sour.{nl}	Karena dia yang menerima perintah sang baron,{nl}Bahkan kalau dia ingin membagi lebih,tidak bisa. Makanya kukira hubungan antara mereka tidak begitu baik.{nl}
QUEST_LV_0200_20150401_005616	What we need is venom from the Scorpio. {nl}The Scorpio is nocturnal, so it must be sleeping at Soil of Arable.{nl}Wake it up and extract the venom out from it. Sounds easy, right?	Ini adalah racun Scorpio. {nl}Mereka semua bekerja pada malam hari dan pasti tertidur di daerah perencanaan kultivasi.{nl}Bangunkan mereka dan ambil racun dari tubuh mereka. Gampang bukan?
QUEST_LV_0200_20150401_005617	Approach it carefully..{nl}If you attack too fast, it won't be effective.	Jalanlah perlahan-lahan..{nl}Jika kamu terlalu cepat menyerang, hasilnya tidak akan efektif.
QUEST_LV_0200_20150401_005618	All done. {nl}Now, I will share this with the workers.{nl}	Selesai. {nl}Kini aku akan memberitahukan para pekerja yang lain.{nl}
QUEST_LV_0200_20150401_005619	Especially Dalius over there. He seems to always be exhausted these days.{nl}He's not doing his work and he looks exhausted.{nl}{nl}	Terutama, Dalryus disana. Sepertinya dia mudah lelah akhir-akhir ini.{nl}Dia tidak bekerja dan kelihatan capek.{nl}{nl}
QUEST_LV_0200_20150401_005620	I will take one sweet herb leaf on my way.{nl}That medicine, it's disgusting to consume it.	Aku akan mencari sweet herb leaf.{nl}Obat itu, sangat menjijikkan untuk dimakan.
QUEST_LV_0200_20150401_005621	The Scorpio Venom.{nl}Can humans consume it?	Racun sang Scorpio.{nl}Memang manusia boleh memakannya?
QUEST_LV_0200_20150401_005622	Who are you? {nl}Stepas sent you?	Siapa kamu? {nl}Stephas mengirimmu?
QUEST_LV_0200_20150401_005623	Nutritious tonic? He told you to give it to me? {nl}Hmm, that's unexpected.	Tonik bernutrisi? Dia memintamu untuk memberikan kepadaku? {nl}Hmm, tidak kusangka.
QUEST_LV_0200_20150401_005624	The poison of Scorpio was somewhat strange.{nl}Damn. It's already in effect. I won't mind it, if it doesn't threaten my life.	Racun sang Scorpio, tampaknya aneh.{nl}Sial. Sudah terjadi. Aku tidak peduli kalaupun mengancam nyawaku.
QUEST_LV_0200_20150401_005625	I have a headache. What's happening?{nl}My stomach's aching too... I'm an idiot to consume what that man gave me right away.	Aku pusing. Apa yang terjadi.{nl}Aduh.. Aku memang orang bodoh yang memakan begitu saja apa yang diberikannya kepadaku.
QUEST_LV_0200_20150401_005626	Is he really going to be okay?	Apakah akan baik-baik saja nantinya?
QUEST_LV_0200_20150401_005627	I should bring lunch to my brother, he's working at Shlake Trail.{nl}Whenever I try to cross the bridge though, the bread gets spoiled.	Aku mesti membawa makan siang kepada saudara laki-lakiku yang bekerja di Shilake forest.{nl}Kapanpun aku mencoba menyeberangi jembatan, rotinya selalu habis.
QUEST_LV_0200_20150401_005628	I swear I'm not lying.{nl}Can you take it there for me?	Aku berjanji tidak akan berbohong.{nl}Tolonglah aku membawanya?
QUEST_LV_0200_20150401_005629	Come back if it gets spoiled.{nl}But I only have two remaining breads so be careful.	Kembalilah jika ada yang hilang.{nl}Tetapi tinggal tersisa dua roti jadi berhati-hatilah.
