QUEST_20150317_000001	Please select the user requiring a quest update.	Pilih user untuk memodifikasi quest.
QUEST_20150714_002059	Premier Eminent is in talks with Commander Ruklys. {nl}We may have to move to the Fortress of the Land and let the Royal Army claim the city.	Aku dengar Premier Eminent juga bernegosiasi dengan general Ruklys.{nl}Tergantung hasil dari negosiasi, mungkin kita akan pindah ke Fortress of Great Land dan kota ini mungkin diambil alih oleh tentara kerajaan.{nl}
QUEST_20150714_002060	It's good news for our the civilians at least. {nl}Despite the town being conceded, the Fortress of the Land will not be taken as easily.	Mungkin itu adalah berita yang baik untuk para penduduk. {nl}Kita menyerahkan kota, dan The Fortress of Great Land cukup kuat untuk menahan serangan musuh.
QUEST_20150714_002061	King Kadumel is keen on persecuting the townspeople and burning the Fortress of the Land.{nl}The premier is pushing Commander Ruklys to negotiate terms, {nl}ensuring that the civilians are safe from enemy forces.	King Kadumel tetap memerintahkan untuk menganiaya penduduk dan membakar The Fortress of Great Land.{nl} Premier Eminent mengusahakan hal terbaik untuk keamanan kota dan para penduduk dengan bernegosiasi bersama general Ruklys.
QUEST_20150714_002062	Despite the Royal Army occupying the town, there has yet to be any threatening movement. {nl}What's going to happen to us...	Prajurit dari kerajaan belum menunjukkan pergerakan yang mengancam.{nl}Apa yang akan terjadi pada kami…
QUEST_20150714_002063	As promised, I will cast magic on you that will protect you from the Petrifying Frost. {nl}But if you leave this region, this magic won't be as effective so be careful.	Seperti yang telah aku janjikan, Aku akan melindungi kalian dengan magic agar tidak terkena Petrified Frosts.{nl}Tapi, jika kamu meninggalkan area ini, magic ini tidak akan bekerja lagi jadi berhati-hatilah.
QUEST_20150714_002064	There has been no progress since Ruklys' group retreated to the Fortress of the Land. {nl}The priests under Maven's direction are reluctant to fight, {nl}and the king is hiring mages by paying them a hefty sum.	Tidak ada kemajuan setelah Ruklys dan penduduknya pindah ke Fortress of Great Land.{nl}Para cleric yang mengikuti Maven pesimis untuk mengikuti perang. Sang raja berusaha merekrut Magicians dengan memberi bayaran yang besar.{nl}
QUEST_20150714_002065	But we expect little to no progress at all even after their participation.	Tetapi kita mengharapkan ada sedikit kemajuan atau tidak sama sekali saat mereka semua ikut berpartisipasi.
QUEST_20150714_002066	How could this happen?! {nl}Lydia Schaffen is aiding Kadumel's forces!	Bagaimana ini bisa terjadi!{nl}Aku dengar Lydia Schaffen membantu pasukan Kadumel.
QUEST_20150714_002067	Lydia Schaffen, a person I've only heard of in rumors, came to the city with her followers. {nl}The officers and soldiers expect she'll change the tide of the battle. {nl}His Majesty ordered us to support her to the best of our ability.	Lydia Schaffen, orang yang hanya aku dengar dari rumor, datang ke kota bersama pengikutnya.{nl}Para prajurit dan petinggi bilang bahwa dia akan mengubah kondisi pertempuran.{nl}Lord memintanya untuk membantu kita dengan sekuat tenaga.
QUEST_20150714_002068	Commander Ruklys has fallen in battle, and the Fortress of the Land has been taken. {nl}Some people say he was killed by Lydia Schaffen's arrow,{nl}while others say by the royal magicians' magic. {nl}{nl}It is indeed sad news.	General Ruklys mati dan Fortress of Great Land telah hancur.{nl}Ada orang yang bilang di mati karena anak panah dari Lydia Schaffen, dan yang lain bilang dia mati karena magic yang digunakan royal magician.{nl}Itu adalah berita yang menyedihkan.
QUEST_20150714_002069	Propaganda of the Kingdom	PropagKamu dari Kerajaan
QUEST_20150714_002070	Surrender by throwing away your weapons.{nl}It is indeed your fault that you've created the Fortress of the Land to stand against the kingdom, {nl}but the merciful King Kadumel will spare you.	Menyerahlah dan buang senjatamu.{nl}Itu adalah murni kesalahanmu karena membangun Fortress of Great Land untuk melawan kerajaan, Tapi King Kadumel yang maha pengampun akan menyelamatkanmu.
QUEST_20150714_002071	Only Premier Eminent, the chancellor of the great kingdom will forgive your treason. {nl}Surrender. You've been misled by the criminal, Ruklys.	Hanya Premier Eminent, perdana mentri dari kerajaan yang akan memaafkanmu.{nl}Menyerahlah. Kamu telah dipimpin oleh seorang kriminal, Ruklys.
QUEST_20150714_002072	Long live the great Royal Army! {nl}Long live the great Premier Eminent!	Bersorak untuk prajurit kerajaan!{nl}Bersorak untuk Great Premier Eminent!
QUEST_20150714_002073	Even Lydia Schaffen, a friend of Ruklys, sided with the Royal Army. {nl}No one will stand on your side. {nl}With your hands, collapse the Fortress of the Land, the proof of your treason, {nl}and wave the white flag. {nl}{nl}The faithful Premier Eminent shall forgive all.	Bahkan Lydia Schaffen yang adalah teman dari Ruklys berpihak pada pasukan kerajaan.{nl}Tidak ada yang ingin berpihak kepadanya. {nl}Dengan tanganmu, menghancurkan The Fortress of Great Land yang adalah bukti dari pengkhianatan dan mengibarkan bendera putih.{nl}Premier Eminent akan memaafkan segalanya.
QUEST_20150714_002074	Are you going to die with Ruklys who misled you with his malicious tricks,{nl}to create the Fortress of the Land to stand against the kingdom? {nl}{nl}Or live a new life by serving the king until the end by following the way of Premier Eminent,{nl}who protected the kingdom from the rebellion?	Apakah kau akan mati bersamah Ruklys yang telah menyesatkan ada dengan trik jahat yang membuat Earth Castle melawan kerajaan? {nl}Atau menjalani hidup baru dengan melayani raja sampai akhir, dengan mengikuti jalan dari Premier Eminent yang melindungi kerajaan dari pemberontak?
QUEST_20150714_002075	Records of the Rebel Army	Catatan Pasukan Pemberontak
QUEST_20150714_002076	As I was retreating from the Royal Army, I encountered many demons. {nl}It doesn't make sense. Where did they come from?	Saat aku melarikan diri dari pasukan kerajaan, Aku melawan banyak demon.{nl}Itu sangat tidak masuk akal. Darimana mereka muncul?{nl}
QUEST_20150714_002077	There's no hope at all. Ah... my lovely Ridell. {nl}The kingdom soldiers did not keep their word. We're all going to die.	Kita tidak punya harapan lagi. Ahah… Ridell ku tersayang.{nl}Para prajurit kerajaan pasti tidak akan menepati janji mereka. Kita semua akan mati.{nl}
QUEST_20150714_002078	Those soldiers of the Royal Army! Especially Premier Eminent! {nl}They're no different from demons. Even the goddesses would not forgive them.	Prajurit kerajaan itu! Khususnya, Premier Eminent yang tidak jauh berbeda dari para demon.{nl}Bahkan Goddess  tidak akan memaafkanmu.{nl}
QUEST_20150714_002079	I don't want to die. {nl}We were just following the goddesses' words. {nl}Everyone is killing each other in the names of the goddesses. {nl}Who has deceived us? {nl}	Aku tidak ingin mati. {nl}Kami hanya mengikut perkataan Goddesses.{nl}Semua orang saling membunuh sambil menyerukan nama Goddess .{nl}Kalau begitu siapa yang berbohong?{nl}
QUEST_20150714_002080	Royal Army Recruit Propaganda	Kingdom Military Recruit Propaganda
QUEST_20150714_002081	The Royal Army needs competent people like you! {nl}Loyalty to the kingdom! To victory and a brighter future!	Kingdom Military membutuhkan orang yang kompeten seperti kamu.{nl}Kesetiaan untuk kerajaan. Untuk kemenangan dan masa depan yang cerah!
QUEST_20150714_002082	Pledge loyalty to the Royal Army and become a new and better person. {nl}The goddesses protect our armies.	Mengabdilah kepada Kingdom Military dan menjadi orang yang baru.{nl}Goddess melindungi pasukan kita semua.
QUEST_20150714_002083	Life and death... which one would you choose? {nl}The only way to survive is to swear loyalty to the kingdom!	Hidup dan mati… yang mana yang akan kau pilih?{nl}Satu-satunya cara untuk hidup adalah mengabdi kepada kerajaan!
QUEST_20150714_002084	Don't forget that the Royal Army has won 600 years ago. {nl}Join us. You sins can be forgiven.	Jangan lupa bahwa kita menang pada 600 tahun yang lalu.{nl}Bergabunglah dengan pasukan. Dosamu akan diampuni.
QUEST_20150714_002085	Please move with us if possible. {nl}There's been a number of monster sightings near here.	Tolong segera pindah bersama kami jika bisa.{nl}Ada laporan bahwa monster mulai terlihat didekat sini.
QUEST_20150714_002086	The supplies should be here soon... {nl}Are they going to be late again?	Suplai akan segera datang…{nl}Apakah mungkin mereka terlambat mengirim?
QUEST_20150714_002087	You will need various tools when traveling. {nl}It's better to buy them in advance.	Kamu membutuhkan berbagai macam alat untuk bepergian.{nl}Lebih baik jika kamu sudah mempersiapkan terlebih dahulu.
QUEST_20150714_002088	Goddess Laima... Actually, I don't know her that well. No one does, except for her priests. {nl}I heard she's the goddess of fate and foresight, but she has not once appeared before us.	Goddess Laima… Sebenarnya aku tidak tahu banyak tentang dia. Tidak semua orang mengenal betul tentang Goddess  kecuali pengikutnya.{nl}Yang aku tahu dia adalah Goddess dari takdir dan ramalan, tapi dia sangat jarang muncul.{nl}
QUEST_20150714_002089	I just remembered something while I was talking to you. {nl}Maybe Goddess Laima knew everything about the disaster beforehand.	Tiba-tiba aku teringat sesuatu saat bicara denganmu.{nl}Mungkin Goddess , Laima tahu tentang semua bencana ini sebelum terjadi.
QUEST_20150714_002090	I pray to Goddess Gabija everyday. It keeps the house warm. {nl}As you may already know, Goddess Gabija controls fire and since I'm a housewife, {nl}I am close to fire as well.	Aku berdoa pada Goddess Gabija setiap hari. Sehingga rumah ini tetap hangat.{nl}Kamu mungkin juga tahu bahwa. Goddess Gabija mengendalikan api.{nl}Karena aku seorang ibu rumah tangga, aku selalu beraktifitas menggunakan api.
QUEST_20150714_002091	If you cleverly use the dry air that forms around areas of severe cold, {nl}you'd be able to freeze any object even in a desert. {nl}{nl}However, if you can't receive the blessing from the goddess, {nl}it won't be possible to make that kind of air.	Jika kamu cerdik menggunakan udara yang kering , kamu dapat membuat benda jadi beku bahkan di padang pasir.{nl}Namun, jika kamu tidak bisa menerima berkat dari Goddess , kamu tidak bisa mengendalikan udara seperti itu.
QUEST_20150714_002092	The Records of the Master Himself	Aku akan melaporkan tentang kerusakannya.{nl}Akan sangat sulit mengejar Sparnas, yang mana dia adalah monster burung yang besar. Meskipun badannya besar, ternyata dia lincah.{nl}Biasanya dia mengincar suplai, tapi aku tidak bisa menemukan petunjuk apapun pada suplai jadi sepertinya ada seseorang dibalik semua ini.
QUEST_20150714_002093	I've studied magic for a long time as a sorcerer. {nl}From the process, the advancement of sorcery can't be explained without relating with demons, {nl}and since they've fought against the goddesses, {nl}the field has been widened to the study of the goddesses as well.	Aku telah mempelajari magic sejak lama menjadi Sorcerer.{nl}Mulai dari proses, menjadi Sorcerer tidak dapat dijelaskan tanpa menghubungkannya dengan demon, dan sejak Demon dengan Goddess adalah 2 hal yang berbanding terbalik, ilmu pelajarannya diperluas untuk mempelajari Goddess .
QUEST_20150714_002094	While I was doing that, I learned of the field of accumulation. {nl}It's an empty field. The theory of the beginning and the end is a fantastic library,{nl}at the boundary of transcendency, all for one purpose.	Sementara aku melakukan itu, aku belajar dari bidang akumulasi. {nl} Ini bidang kosong. Teori awal dan akhir adalah perpustakaan yang fantastis, {nl} pada batas transendensi, semua untuk satu tujuan.
QUEST_20150714_002095	Records about Disciple Laius	Catatan Tentang Murid, Raius
QUEST_20150714_002096	My other disciple, Laius, is clever and a fast learner but has an insatiable greed for knowledge. {nl}I am worried that he may fail the task. {nl}A scholar should always try to learn, but obsessing about it will make one walk the wrong path.	Muridku yang lain Raius sangat pandai dan mahir, tapi dia terlalu haus akan ilmu pengetahuan. Aku khawatir dia akan mengacaukan tugasnya.{nl}Seorang scholar harus selalu mencoba untuk belajar, tapi jika terlalu terobsesi akan membawanya pada jalur yang tidak semestinya. {nl}
QUEST_20150714_002097	Despite that, Laius is a disciple I acknowledge. {nl}His passion towards me and knowledge is just being expressed in a wrong way.	Tetapi, Raius adalah murid yang aku kenal.{nl}Hasrat dia terhadap ilmu pengetahuan diarahkan dengan cara yang salah.{nl}
QUEST_20150714_002098	I hope Laius realizes this himself. {nl}Since he is my disciple, I believe he can do it.	Aku harap Raius dapat sadar.{nl}Karena dia adalah muridku. Aku yakin dia bisa melakukannya.
QUEST_20150714_002099	Records about Disciple Hones	Catatan Seorang Murid, Hones
QUEST_20150714_002100	Among my disciples, two of them followed me until my later years and,{nl}will be my successors after my death.	Diantara para muridku, dua dari mereka mengikutiku hingga beberapa tahun dan menjadi suksesor setelah aku mati.
QUEST_20150714_002101	Hones, who is one of them, is lacking in scholarly intelligence. {nl}However, I am sure his faithfulness and efforts will help him follow my teachings.	Hones, adalah salah satu dari mereka, tidak begitu pintar dalam ilmu scholar, tapi aku yakin usaha dan kepercayaannya akan membuat dia percaya padaku.
QUEST_20150714_002102	Records of the Hidden Object	Catatan dari objek yang tersembunyi
QUEST_20150714_002103	...I don't know whether I should thank the goddesses for this discovery or not. My greed for knowledge can ruin the world.	...Aku tidak tahu apakah harus bersyukur pada Goddesses akan penemuan ini. Keserakahanku akan ilmu pengetahuan akan menghancurkan dunia.
QUEST_20150714_002104	I can't sleep well for fear of my research results being spread by demon investigation. {nl}That's why I wish to pass the rest of the research to the one I can trust.	Aku tidak bisa tidur nyenyak jika memikirkan tentang hasil penelitianku yang mungkin di curi dan di ambil oleh para Demon.{nl}Karena itu aku ingin memberikan hasil penelitian ini kepada orang yang bisa aku percaya demi kedamaian dunia.{nl}
QUEST_20150714_002105	The Inheritance of the Master	Peninggalan dari Sang Master
QUEST_20150714_002106	As the priests and theologians know, Goddess Vibora is in charge of the library,{nl}where all records of the world are stored. I was able to check several records in that {nl}fantastic library after the research and long studying I can't tell anyone about at the moment. {nl}	Terkenal sebagai seorang theologian, Goddess Vibora adalah yang bertanggung jawab atas perpustakaan tempat catatan dari seluruh dunia. {nl}Aku pernah memeriksa dan membaca beberapa catatan di perpusatakaan yang fantastis itu setelah melakukan penelitian {nl} dan aku tidak pernah memberitahu siapapun karena sibuk belajar.{nl}
QUEST_20150714_002107	From the many records of the goddess, I was only able to see a few. {nl}Nevertheless, the fact that I checked the existence of the records with the important facts {nl}was astonishing. {nl}	Dari banyak catatan Goddess, aku hanya bisa melihat beberapa. {nl} Namun demikian, fakta bahwa aku memeriksa keberadaan catatan dengan fakta-fakta penting {nl} adalah menakjubkan. {nl}
QUEST_20150714_002108	The record which I can use to find the whereabouts of all the goddesses... {nl}If one had such secret information, it would be possible to predict the goddesses' {nl}future locations by analyzing what they did in the past. {nl}Because of that, their future plans may be disturbed or put at risk. {nl}	Catatan dimana aku bisa mengetahui keberadaan para Goddesses?nl}Jika kamu bisa mendapatkan catatan rahasia itu, kita mungkin bisa menebak dimana mereka berada dengan menganalisa apa yang dilakukan Goddess  di masa lampau.{nl}Karena itu, tugas yang sudah kamu rencanakan dengan matang, mungkin bisa terganggu atau menjadi berbahaya.{nl}
QUEST_20150714_002109	This is more dangerous because, if the demons find out the truth, {nl}their desire for the library will grow and, if they do acquire that knowledge, {nl}the world will be swallowed by evil. That's why - {nl}	Ini lebih berbahaya karena, jika demon mengetahui kebenaran, {nl} keinginan mereka untuk perpustakaan akan tumbuh dan, jika mereka melakukannya memperoleh pengetahuan, {nl} dunia akan ditelan oleh kejahatan. Itu sebabnya - {nl}
QUEST_20150714_002110	(The rest is blurred and unreadable.)	(Tidak dapat dibaca karena tulisannya samar-samar)
QUEST_20150714_002111	Disciple Hones' Memo	Memo dari disciple, Hones
QUEST_20150714_002112	If you want to find the master's research, you have to find three spatial magic stones {nl}and activate the fusion device.	Jika kamu ingin mencari hasil penelitian sang master, kamu harus mencari tiga spatial magic stones dan mengaktifkan fusion device.{nl}
QUEST_20150714_002113	The Spatial Magic Gem of Contract is at the reception room. {nl}The monsters probably have the fragments. {nl}Collect all the fragments of the magical stones and go to the{nl}preserved magic field in the Grave of the Saints to restore them.	Spatial magic stone of the contract ada di reception room.{nl}Kemungkinan para monster memiliki fragment itu.{nl}Kumpulkan semua fragments of magical stones dan pergilah ke preserved magic field di Grave of the Saints untuk mengembalikan magic stones.
QUEST_20150714_002114	The Spatial Magic Gem of Offer is with the Templeshooter. {nl}The Wisdom Guiding Stone will help you find the hidden Templeshooter.	Temple Shooter Witches memiliki spatial magic stones of sacrifices.{nl}Guiding stone of wisdom bisa membantu kamu menemukan hidden Temple Shooter.{nl}
QUEST_20150714_002115	The Spatial Magic Gem of Promise can be found in Siaura Mine. {nl}Use the Soul Crystal on the monsters first to collect their Condensed Spite. {nl}With that, destroy the stones in Siaura Mine. {nl}Black Chasers will pursue from behind, avoid them and go to the end of the mine{nl}to find the magic gem.	Spatial magic stones of the promise dapat ditemukan pada Siaura Mine.{nl}Gunakan essence of the spirit kepada monsters untuk mengumpulkan condensed resentment.{nl}Dengan itu, hancurkan stones di Siaura Mine.{nl}Black chasers mungkin akan mengejar dari belakang, hindari mereka dan pergi ke ujung mine untuk mencari spatial magic stones of the promise.{nl}
QUEST_20150714_002116	When you find all three spatial magic gems, go to the fusion device again,{nl}and place the magic gems there. {nl}The path to the master's research will then open at the Laudi Tower.	Bila Kamu menemukan semua tiga spatial magic gem, pergi ke fusion device lagi, {nl} dan menempatkan magic gem di sana. {nl} Jalan untuk penelitian master maka akan membuka di Laudi Tower.
QUEST_20150714_002117	Spirit	Spirit
QUEST_20150714_002118	Please... save us from this horrible contract... {nl}Remove us from this... Contract of Enunciation...	Tolong...selamatkan kami dari contract yang kejam ini...nl}Lepaskan...kami dari contract of declaration…
QUEST_20150714_002119	The Contract of Enunciation... {nl} we'll vanish if we speak... I have no regrets...	The contract of declaration...{nl}itu akan kadaluarsa saat kita bicara...Aku tidak menyesal…
QUEST_20150714_002120	Eternal imprisonment... from the restraints of the contract... {nl}Break... the Pot of Silence...	Tidak bisa keluar selamanya...dari jeratan contract…{nl}Hancurkan...pot of the silence…
QUEST_20150714_002121	The Pot of Silence is at Memum Corridor... {nl}I'm so... exhausted...	Pot of the silence berada di Memum Corridor...{nl}Aku...merasa lelah…
QUEST_20150714_002122	Where to start...	Darimana aku harus memulainya…
QUEST_20150714_002123	I was a disciple of Agailla Flurry when I was alive. {nl}I didn't have any magical abilities so I couldn't use magic.	Aku adalah anggota dari Agailla Flurry saat aku masih hidup. {nl}Aku tidak memiliki kemampuan magis sehingga aku tidak dapat menggunakan magic.{nl}
QUEST_20150714_002124	That's why I survived Helgasercle's wrath. {nl}She must've thought she didn't have to kill me since I wasn't able to use magic.	Itulah mengapa aku tidak bisa selamat dari tangan Helgasercle.{nl}Aku pikir dia tidak akan menghabisiku karena aku tidak bisa menggunakan magic.{nl}
QUEST_20150714_002125	I am confident I am better when it comes to theories than other disciples... {nl}That's why I studied magic. And in my studies, I learned of the magic stone of interaction.	Aku sangat percaya akan theories dibandingkan anggota lain.{nl}Karena itulah aku mempelajari magic. Saat aku masih belajar, Aku mengetahui bahwa ada magic stone of interaction.
QUEST_20150714_002126	I came here when Helgasercle attacked the Mage Tower. {nl}I thought that if I could use the magic stone of interaction, I'd be able to use magic.	Aku datang ke sini saat Helgasercle menyerang Magicians' Tower.{nl}Aku pikir jika aku menggunakan magic stones of interaction, aku jadi bisa menggunakan magic.{nl}
QUEST_20150714_002127	But, Archon drove me away from the Mage Tower. {nl}Due to this disturbance, the magic stone activated defensive magic, linking my,{nl}and Archon's spirit to each other.	Tetapi, Akon mengejarku dari Magicians' Tower.{nl}Karena gangguan dari Akon, magic stone telah mengaktifkan defensive magic dan spirits of Akon juga diriku terikat dalam suatu hubungan.{nl}
QUEST_20150714_002128	As a result, Archon was sealed and my body disappeared without a trace. {nl}We became shackled to each other.	Sehingga akhirnya, Akon telah tersegel dan tubuhku menghilang tanpa jejak.{nl}Kami menjadi terbelenggu satu sama lain.
QUEST_20150714_002129	I've been tied here for hundreds of years... {nl}Since I can't do anything with my astral body.	Aku telah terbelenggu di sini selama ratusan tahun?nl}Sejak aku tidak bisa berbuat apa-apa dengan astral body.{nl}
QUEST_20150714_002130	The bigger problem is that Archon was released as well. {nl}I lost the body, but Archon, who is a demon, is still alive.	Masalah yang lebih besar adalah Akon telah terlepas.{nl}Aku telah kehilangan tubuh, tapi Akon yang seorang demon masih tetap hidup.{nl}
QUEST_20150714_002131	Memorial Stone	Memorial Stone
QUEST_20150714_002132	By avoiding the eyes of Helgasercle, I was able to come here to continue my research. {nl}I needed to find a way. A way to reduce the power of demons and increase that magical power.	Dengan menghindari mata dari Helgasercle, aku datang ke sini untuk melanjutkan penelitianku.{nl}Aku harus menemukan cara. Cara untuk mengurangi kekuatan Demon dan meningkatkan magical power.{nl}
QUEST_20150714_002133	By my name, Valius, the one who walks the way of Linker, {nl}I swear that I will not surrender to the demons.	Dengan namaku, Balryus, yang berjalan di jalur Linker, Aku bersumpah tidak akan menyerah kepada Demon.
QUEST_20150714_002134	I've made many magical tools, but I wasn't able to repel the attacks of the demons. {nl}Without checking out the result, I close my eyes.	Aku telah membuat banyak magical tools, tapi aku masih tidak bisa memblokir serangan para demon.{nl}Tanpa memeriksa hasilnya, Aku memejamkan mata.{nl}
QUEST_20150714_002135	Records of Investigation	Records of investigation
QUEST_20150714_002136	The basics of Linker magic are to find the common factors in each others' spirits. {nl}So it is impossible if the acceptor does not possess any magical abilities or bases. {nl}	Inti dari Link Magics adalah mencari hubungan dasar dari spirit.{nl}Jadi akan mustahil jika acceptor tidak menguasai dasar dari skill magic.{nl}
QUEST_20150714_002137	I've completed the first stage magic stone. {nl}It still does not satisfy the previous objective of delivering the perfect magic,{nl}and magical power somewhat.{nl}But now, at last it is possible to accept Linker Magic even without magical ability.{nl}	Meskipun ada sedikit kekurangan, Aku telah menyelesaikan stage pertama magic stone.{nl}Sepertinya ada yang kurang dari tujuan sebelumnya menyalurkan tenaga magic yang sempurna dan kekuatan magic,{nl}tapi sekarang kamu bisa mendapatkan Link Magics meskipun kamu tidak menguasai ilmu magic.{nl}
QUEST_20150714_002138	Proposal	Plan
QUEST_20150714_002139	If a magician finds a way to share all his abilities and knowledge with another, {nl}then even those without magical abilities can become a strong magician,{nl}within a short period of time.	Jika salah satu magician menemukan cara untuk menyebarkan kemampuan dan pengetahuannya ke orang lain, seseorang yang bahkan tidak tahu ilmu magic bisa menjadi magician yang kuat dalam waktu singkat.{nl}
QUEST_20150714_002140	This way, you'd be able to hide from the eyes of Helgasercle,{nl}who is extremely afraid of the disciple of Agailla Flurry appearing.	Dengan metode ini, kamu dapat menghindari eyes of Helgasercle yang sangat takut terhadap kemunculan The disciple of Agailla Flurry.
QUEST_20150714_002141	However, I'm not sure if this is at all possible or whether or not it will have any side effects.	Tapi, Aku tidak tahu apakah ini akan berhasil dan mungkin ada efek sampingnya.{nl}
QUEST_20150714_002142	Design Proposal	Design Plan
QUEST_20150714_002143	The magic stone of the interaction can be made to work on the behalf of a Linker. {nl}However, maintaining the stone of interaction requires a considerable amount of magical power.	Magic stone of the interaction dapat bekerja dengan kemampuan Link.{nl}Tapi, dibutuhkan banyak kekuatan magic untuk menjaga the magic stone of the interaction agar tetap bekerja.{nl}
QUEST_20150714_002144	Hence, we decided to maintain the magic stone of the interaction {nl}with 12 regenerating magical power stones. {nl}If no problems arise, we will be able to maintain it, but if the magical power supply is cut, {nl}it won't last long.	Jadi kami memutuskan untuk menjaga Magic stone of the interaction dengan 12 regenerating magical power stone.{nl}Jika kita tidak menemukan masalah, maka kita dapat melanjutkan untuk terus menerus menjaga magical stone of the interaction, tapi jika magical power berhenti memberikan tenaga, itu tidak akan bertahan lama.
QUEST_20150714_002145	Adrijus' Notice Board	Notice Board of Adrius
QUEST_20150714_002146	I am looking for a stone rubbing of the tablet at the central sanctum. {nl}If you find any tablets with writings engraved, make a rubbing off of it. {nl}- Adrijus	Aku mencari salinan dari tombstone di central sanctum.{nl}Jika kamu menemukan tombstone dengan sesuatu yang tertulis diatasnya, buatlah salinan dari tulisan itu.{nl}- Adrius
QUEST_20150714_002147	Stained Tablet	Tombstone dengan bercak
QUEST_20150714_002148	It seems that someone has already made a rubbing since there is a vague trace of ink. {nl}Shall I read it?	Sepertinya seseorang telah membuat salinan karena terlihat sisa vague ink.{nl}Mari kita baca.
QUEST_20150714_002149	King Kadumel finally dies.	King Kadumel akhirnya gugur.
QUEST_20150714_002150	Instead of the Mage Tower, the Tower of Fire would be a more fitting name for Flurry's tower.	Daripada Magicians' Tower, Tower of Fire sebutannya lebih cocok untuk Tower of Flurry.
QUEST_20150714_002151	This is a very secluded area so monsters usually prey around here. {nl}Be careful around here.	Tempat ini sangat terisolasi, jadi monster sering menyerang tempat ini.{nl}Berhati-hatilah.
QUEST_20150714_002152	Research Records of Demetrius	The research records of Demetrius
QUEST_20150714_002153	In ancient times, humans lived with the goddesses. {nl}When I first heard of this piece of folklore, {nl}I thought it was made up out of respect for the goddesses. {nl}{nl}I started to investigate what historic background caused such reverence, {nl}as well as why this myth was created.	Jaman dahulu, manusia hidup berdampingan dengan Goddess .{nl}Pada saat pertama kali aku menemukan kisah ini, Aku berpikir bahwa cerita ini dibuat hanya untuk menghormati Goddess .{nl}Aku mulai melakukan investigasi dan mencari kenapa mereka sangat menghormati Goddess , dan juga alasan kenapa cerita ini dibuat.{nl}{nl}
QUEST_20150714_002154	I increased the extent of my research. {nl}I traveled to many regions of the kingdom and collected similar cases. {nl}And I started to believe that this story was part of a bigger truth rather {nl}than just a small truth covered in fabrication.	Aku meningkatkan tingkat penelitian aku. {nl} aku melakukan perjalanan ke berbagai daerah kerajaan dan dikumpulkan kasus serupa. {nl} Dan aku mulai percaya bahwa cerita ini adalah bagian dari kebenaran yang lebih besar agak {nl} dari sekedar kebenaran kecil tertutup fabrikasi.
QUEST_20150714_002155	The facts that we've discovered so far are thus: {nl}{nl}In the beginning, or a period not that far from the beginning, {nl}all humans used to live with the goddesses underground. {nl}I suppose the goddesses used to be more directly involved with humans. {nl}I have no idea why but soon, the humans left that place and scattered across the land.	Fakta yang telah kami temukan kurang lebih seperti ini.{nl}{nl}Pada awalnya, atau periode yang sangat dekat dengan permulaan, semua manusia hidup bersama Goddess  dibawah tanah.{nl}Aku rasa para Goddess  memelihara dan melindungi manusia dengan kasih sayang.{nl}Dan aku tidak tahu alasannya, tetapi para manusia mulai keluar dari tempat itu dan menyebar ke berbagai daerah dan tempat.{nl}{nl}
QUEST_20150714_002156	This movement was made very naturally. {nl}If that hadn't been the case, then there must have been conflicts, {nl}and more fables would have been created as a result.	Gerakan ini dibuat sangat alami. {nl} Jika itu tidak pernah terjadi, maka pasti ada konflik, {nl} dan lebih dongeng akan telah dibuat sebagai hasilnya.
QUEST_20150714_002157	I believe the goddesses erased all memory and records of that time completely. {nl}However, we can't deny the possibility that another reason may exist {nl}due to the fact that this legend still remains despite the authority of the great goddesses.	Aku memperkirakan bahwa para Goddess  menghapus semua ingatan dari manusia tentang hal itu.{nl}Namun bagaimanapun, kita tidak bisa menghilangkan kemungkinan bahwa cerita itu masih dapat dibuat meskipun sudah dicegah oleh kekuatan Goddess  yang agung.{nl}{nl}
QUEST_20150714_002158	And this is a very cautious prediction, but the creatures that we call demons{nl}may exist underground. {nl}{nl}Though that theory is hard to accept when we think about all the facts {nl}that are recorded in history and the present.	Dan ini perkiraan yang paling berbahaya, mahluk yang kita sebut Demon mungkin hidup dibawah tanah.{nl}Namun, itu adalah teori yang cukup sulit kita terima karena fakta yang ada di sejarah berbeda dengan keadaan saat ini.
QUEST_20150714_002159	I can smell many Avietes. I heard they're effective... Could you share them with us?	Aku mencium aroma Avietes. Aku dengar itu sangat efektif?Maukah kamu berbagi dengan kami?
QUEST_20150714_002160	Thank you. I will give you as many as you need. {nl}You will be successful.	Terima kasih. Aku akan memberikanmu sebanyak yang kamu butuhkan.{nl}Kamu akan sukses.
QUEST_20150714_002161	I wanted to eat it...	Sepertinya aku ingin memakannya?
QUEST_20150714_002162	You're not collecting Avietes?	Kamu tidak mengumpulkan Avietes?
QUEST_20150714_002163	I'll give them to you. {nl}You will be successful.	Akan kuberikan padamu.{nl}Kamu akan sukses.
QUEST_20150714_002164	Our hope will definitely come true.	Harapan kita sepertinya akan tercapai.
QUEST_20150714_002165	I trust Horaceus.	Aku percaya Horaceus.
QUEST_20150714_002166	I'll cheer up and smile until the day comes.	Aku akan tetap semangat hingga waktunya tiba.
QUEST_20150714_002167	I guess I'll take this tombstone rubbing to the person who wants it.	Sepertinya aku harus membawa tombstone's rubber copy ini kepada orang yang membutuhkannya.
