QUEST_LV_0100_20150317_000001	Sentinel	Sentinel
QUEST_LV_0100_20150803_007800	Tell him to look for it later	Katakan padanya untuk memeriksanya nanti
QUEST_LV_0100_20150803_007801	Special powers Discovered by the Monocle (3)	Kekuatan special yang terdeteksi oleh Monocle(3)
QUEST_LV_0100_20150803_007802	Go to look for it	Pergi memeriksanya
QUEST_LV_0100_20150803_007803	Persuade/TALK/1/TRACK_BEFORE/None	Membujuk/TALK/1/TRACK_BEFORE/None
QUEST_LV_0100_20150803_007804	Fortress of the Land Manager	Manager of the fortress of the earth
QUEST_LV_0100_20150803_007805	I will make verification tickets	Aku akan membuat verification tickets
QUEST_LV_0100_20150803_007806	I will make them later	Aku akan membuatnya nanti
QUEST_LV_0100_20150803_007807	To the Reservoir (1)	Untuk reservoir (1)
QUEST_LV_0100_20150803_007808	Look for the next material	Carilah bahan berikutnya
QUEST_LV_0100_20150803_007809	I will obtain them later	Aku akan mendapatkannya nanti
QUEST_LV_0100_20150803_007810	To the Reservoir (2)	Untuk reservoir (2)
QUEST_LV_0100_20150803_007811	I will follow him after you are done with the task	Aku akan mengikutinya setelah Kamu selesai dengan tugas itu
QUEST_LV_0100_20150803_007812	Tell him to go there later	Katakan padanya untuk pergi ke sana nanti
QUEST_LV_0100_20150803_007813	Nocie/Leave the note that contains the method to make verification tickets	Notice/Tinggalkan catatan yang berisi metode untuk membuat verification tickets
QUEST_LV_0100_20150803_007814	Leave the note	Tinggalkan catatannya
QUEST_LV_0100_20150803_007815	The Soldiers' Story	Kisah dari para prajurit
QUEST_LV_0100_20150803_007816	Read the book/SITGROPE/1.5/TRACK_BEFORE/None	Membaca buku/SITGROPE/1.5/TRACK_BEFORE/None
QUEST_LV_0100_20150803_007817	Notice/The story related to Ruklys is written on it	Notice/Cerita yang terkait dengan Ruklys tertulis di atasnya
QUEST_LV_0100_20150803_007818	Read the book	Membaca buku
QUEST_LV_0100_20150803_007819	The Resentful Soldier's Spirit (1)	Resentful Soldier's Spirit (1)
QUEST_LV_0100_20150803_007820	Check the keepsakes of the soldier/SITGROPE/1/TRACK_BEFORE/None	Periksa barang kenangan dari prajurit /SITGROPE/1/TRACK_BEFORE/None
QUEST_LV_0100_20150803_007821	The Resentful Soldier's Spirit (2)	Resentful Soldier's Spirit (2)
QUEST_LV_0100_20150803_007822	Put down the ring	Letakkan cincinnya
QUEST_LV_0100_20150803_007823	Desperate Man	Desperate Man
QUEST_LV_0100_20150803_007824	Go to the lower side of the camp	Pergi ke sisi yang lebih rendah dari camp
QUEST_LV_0100_20150803_007825	Track the trails of the Weaver at the lower side of the base	Melacak jejak dari Weaver di sisi yang lebih rendah dari camp
QUEST_LV_0100_20150803_007826	You have defeated the Weavers. Return to Supply Officer and report.	Kamu telah mengalahkan Weaver. Kembali ke Supply Officer dan laporan.
QUEST_LV_0100_20150803_007827	Check the Crystal Pillar in the Closed Area	Periksa Crystal Pillar di Closed Area
QUEST_LV_0100_20150803_007828	The Vubbes are disappearing near the Crystal Wall in the Closed Area. Check the barrier stone of the closed area.	Vubbes menghilang didekat Crystal Wall di Closed Area. Periksa barrier stone dari closed area.
QUEST_LV_0100_20150803_007829	Collect Vubbe Magic Stones	Kumpulkan Vubbe Magic Stones
QUEST_LV_0100_20150803_007830	Insert Vubbe Magic Stones into the Crystal Wall	Gunakan Vubbe Magic Stones pada barrier stone.
QUEST_LV_0100_20150803_007831	Insert the Vubbe Magic Stones onto the Crystal Wall in the Closed Area.	Masukkan Vubbe Magic Stones ke dalam Crystal Wall di Closed Area.
QUEST_LV_0100_20150803_007832	Check the Crystal Pillar in the Closed Area	Periksa Crystal Pillar di Closed Area
QUEST_LV_0100_20150803_007833	Protect the altar from the monsters	Lindungi altar dari para monster
QUEST_LV_0100_20150803_007834	Talk to the Village Priest	Bicara dengan new officer dari andail Village
QUEST_LV_0100_20150803_007835	Search in the bushes	Cari di semak-semak
QUEST_LV_0100_20150803_007836	Bring the food that you found	Bawa makanan yang Kamu temukan
QUEST_LV_0100_20150803_007837	Combine Ridimed leaf and detox solvent to make antidote.	Gabungkan Ridimed leaf dan detox solvent untuk membuat antidote.
QUEST_LV_0100_20150803_007838	Get Ridimed leaves at Ziuluti Vacant Lot in order to make the antidote. Press the 	Dapatkan Ridimed leaves di Ziuluti Vacant Lot untuk membuat antidote.
QUEST_LV_0100_20150803_007839	The special power detected by Monocle	Kekuatan spesial terdeteksi oleh Monocle
QUEST_LV_0100_20150803_007840	Defeat demons	Kalahkan demon
QUEST_LV_0100_20150803_007841	Find the special power that exists in demons	Temukan kekuatan special yang terdapat pada demon
QUEST_LV_0100_20150803_007842	Find the special power that exists in demons	Temukan kekuatan special yang terdapat pada demon
QUEST_LV_0100_20150803_007843	Find the object with the special power hidden in it by defeating the demons	Cari objek dengan kekuatan spesial yang tersembunyi di dalamnya dengan mengalahkan demon
QUEST_LV_0100_20150803_007844	Search the place where Amanda told you	Cari tempat di mana Amanda katakan padamu
QUEST_LV_0100_20150803_007845	Search the place where Amanda told you	Cari tempat di mana Amanda katakan padamu
QUEST_LV_0100_20150803_007846	Persuade the Old Manager	Meyakinkan old manager
QUEST_LV_0100_20150803_007847	Persuade the Old Manager	Meyakinkan old manager
QUEST_LV_0100_20150803_007848	Talk to the Old Manager	Bicara dengan old manager
QUEST_LV_0100_20150803_007849	Talk to the Old Manager	Bicara dengan old manager
QUEST_LV_0100_20150803_007850	Obtain the materials to make verification tickets	Dapatkan material untuk membuat verification tickets
QUEST_LV_0100_20150803_007851	Obtain the materials to make verification tickets	Dapatkan material untuk membuat verification tickets
QUEST_LV_0100_20150803_007852	To the Reservoir	Ke Reservoir
QUEST_LV_0100_20150803_007853	Obtain %s by defeating monsters	Dapatkan %s dengan mengalahkan monster
QUEST_LV_0100_20150803_007854	Leave the note to Amanda	Tinggalkan note untuk Amanda
QUEST_LV_0100_20150803_007855	Look for the hidden book	Carilah hidden book
QUEST_LV_0100_20150803_007856	Look for the book which was passed down from Ruklys era	Carilah buku yang diwariskan dari era Ruklys
QUEST_LV_0100_20150803_007857	The Resentful Soldier's Spirit	Resentful Soldier's Spirit
QUEST_LV_0100_20150803_007858	Check the keepsakes of the soldier	Periksa barang kenangan dari prajurit
QUEST_LV_0100_20150803_007859	Check the keepsakes of the soldier	Periksa barang kenangan dari prajurit
QUEST_LV_0100_20150803_007860	Defeat the resentment that suddenly rushed in	Kalahkan resentment yang tiba-tiba menerobos masuk
QUEST_LV_0100_20150803_007861	Defeat the resentment that suddenly rushed in	Kalahkan resentment yang tiba-tiba menerobos masuk
QUEST_LV_0100_20150803_007862	Talk to the Resentful Soldier's Spirit	Bicara dengan Resentful Soldier's Spirit
QUEST_LV_0100_20150803_007863	Talk to the spirit of the soldier with resentment	Bicara dengan Resentful Soldier's Spirit
QUEST_LV_0100_20150803_007864	Go to the place where the Resentful Soldier's Spirit told you to go	Pergi ke tempat dimana Resentful Soldier's Spirit katakan padamu untuk pergi
QUEST_LV_0100_20150803_007865	Go to the place where the Resentful Soldier's Spirit told you to go	Pergi ke tempat dimana Resentful Soldier's Spirit katakan padamu untuk pergi
QUEST_LV_0100_20150803_007866	Rescue the Desperate Man	Selamatkan desperate man
QUEST_LV_0100_20150803_007867	Rescue the Desperate Man	Selamatkan desperate man
QUEST_LV_0100_20150803_007868	Talk to Believer Gintas	Bicara dengan Believer Gintas
QUEST_LV_0100_20150803_007869	You've rescued the Desperate Man. Talk to him.	Kamu telah menyelamatkan desperate man. Bicara dengan dia.
QUEST_LV_0100_20150804_007870	You are better than I expected.{nl}I have another request for you... How about it?	Kamu lebih baik dari yang Aku bayangkan.{nl} Aku memiliki beberapa permintaan kepada Kamu ... Bagaimana?
QUEST_LV_0100_20150804_007871	I can't move at all because of the barrier.{nl}Please do something about it.	Aku tidak bisa bergerak sama sekali karena barrier.{nl} Tolong lakukan sesuatu pada barrier itu.
QUEST_LV_0100_20150804_007872	Shoot. I think the monsters are rushing back here.{nl}They probably found out that I have been freed.	Sial. Aku rasa monster menerobos masuk.{nl} Aku kira mereka mengetahui bahwa Aku telah bebas.
QUEST_LV_0100_20150804_007873	Where is the master. I am so scared because I am worried.	Dimana master. Aku sangat takut karena Aku khawatir.
QUEST_LV_0100_20150804_007874	As I expected, this ordeal can be only passed to the Revelator.{nl} So that's it... it was prepared by the owner of the Royal Mausoleum after all.	Penghalang ini memang salah satu yang dapat melaluinya hanyalah savior{nl} Penghalang tersebut disiapkan oleh pemilik Royal Tomb.
QUEST_LV_0100_20150804_007875	Are you hurt?{nl}Oh, that's the second symbol of ordeal of the Great King.	Apakah kau terluka di suatu tempat?{nl}Oh, itu 2nd symbol of ordeal of the Great King.
QUEST_LV_0100_20150804_007876	Soon, all of the symbols of the ordeals will be collected.{nl}I look forward to it.	Sebentar lagi symbols of the ordeals akan terkumpul.{nl} Aku ingin segera melihatnya.
QUEST_LV_0100_20150804_007877	Finally, you have collected all the symbols of the ordeals.{nl}Give me the symbols, please. I will start the interpretations.	Akhirnya, Kita telah mengumpulkan semuasymbols of the ordeals.{nl} Beri aku simbolnya. Aku akan mulai menafsirkannya.
QUEST_LV_0100_20150804_007878	Wispy Floating Words	Kata-kata yang ditemukan
QUEST_LV_0100_20150804_007879	Four ordeals were prepared so that our enemies cannot reach the message.{nl}However, if you are unprepared, even you won't be able to overcome those ordeals.{nl}	Aku menyiapkan 4 rintangan sehingga musuh kami tidak bisa menyentuhnya.{nl} Namun, jika Kamu tidak siap, Kamu tidak akan dapat mengatasi rintangannya.{nl}
QUEST_LV_0100_20150804_007880	You must search. {nl}Prove yourself as a true savior and the way will open.{nl}	Temukan itu.{nl} Ketika Kamu membuktikan diri sebagai savior, jalan akan terbuka.{nl}
QUEST_LV_0100_20150804_007881	Oh my, so that was the case...{nl}The symbols are covered with something, so it is difficult for me to examine them.{nl}	Jadi itu sebabnya... {nl}Simbol tertutup dengan sesuatu sehingga Aku kesulitan untuk mengidentifikasinya.{nl}
QUEST_LV_0100_20150804_007882	I will be waiting patiently.{nl}Why would we have to be in a hurry when we already have the symbols?	Aku akan menunggu dengan sabar.{nl} Mengapa kita harus terburu-buru ketika kita telah memiliki simbolnya.
QUEST_LV_0100_20150804_007883	(You explained the carvings engraved on the epitaph.)	Aku menjelaskan kepadanya mengenai apa yang tertulis di epitaph dan simbolnya.
QUEST_LV_0100_20150804_007884	Notice/Suddenly Shnayim is attacking!#7	Notice/Tiba-tiba Shnayim menyerang!#7
QUEST_LV_0100_20150804_007885	Putting the stone	Menempatkan stone
QUEST_LV_0100_20150804_007886	Looking at the epitaph	Melihat ke epitaph
QUEST_LV_0100_20150804_007887	Explain about Rexipher and the symbols	Menjelaskan mengenai simbol kepada Rexipher
QUEST_LV_0100_20150804_007888	Technician Heinen seems to be in trouble. Talk to him.	Technician Heinen tampaknya berada dalam kesulitan. Bicara padanya.
QUEST_LV_0100_20150804_007889	Technician Heinen asked you to defeat the monsters nearby.	Technician Heinen meminta Kamu untuk mengalahkan monster di sekitar.
QUEST_LV_0100_20150804_007890	You have destroyed the barrier on the west side as Technician Heinen requested you too. Talk to him again.	Kamu telah menghancurkan barrier di sisi barat sesuai dengan permintaan Technician Heinen kepada Kamu. Bicara padanya lagi.
QUEST_LV_0100_20150804_007891	Collect %s by destroying the Stone Pillar	Kumpulkan %s dengan menghancurkan Stone Pillar
QUEST_LV_0100_20150804_007892	Put the Spiritual Stones at Alkune Stairway	Letakkan Spiritual Stones di Alkune Stairway
QUEST_LV_0100_20150804_007893	You have obtained the symbols of the ordeal of the Great King. Talk to Historian Rexipher.	Kamu telah memperoleh  symbols of the ordeal of the Great King. Bicara dengan Historian Rexipher.
QUEST_LV_0100_20150804_007894	The epitaph tells you about the ordeal which relates to the authentication of the Revelator. Talk to Historian Rexipher about the location of the next epitaph.	Epitaph memberitahu Kamu mengenai hambatan yang berkaitan dengan otentikasi dari savior. Bicara dengan Sejarawan Rexipher mengenai lokasi dari epitaph berikutnya.
QUEST_LV_0100_20150804_007895	It is the third ordeal that was prepared by the Great King Zachariel. Read the epitaph on the left side of Dykyne Fork to obtain the third symbol of the ordeal.	Ini adalah hambatan ketiga yang disiapkan oleh Great King Zachariel. Baca epitaph di sisi kiri Dykyne Fork untuk mendapatkan third symbol of the ordeal.
QUEST_LV_0100_20150804_007896	You have obtained the third symbol of the ordeal. Return to Historian Rexipher and talk to him.	Kamu telah memperoleh third symbol of the ordeal. Kembali ke Historian Rexipher dan bicara dengan dia.
QUEST_LV_0100_20150804_007897	Obtain %s	Memperoleh %s
QUEST_LV_0100_20150804_007898	There is only one epitaph remaining until you pass all the ordeals. Talk to Historian Rexipher about the location of the epitaph.	Hanya ada satu epitaph yang tersisa sampai Kamu menyelesaikan semua hambatan. Bicara dengan Historian Rexipher mengenai lokasi epitaph tersebut.
QUEST_LV_0100_20150804_007899	This is the last ordeal prepared by the Great King Zachariel. Read the epitaph at Apatinis Cliff and obtain the fourth symbol.	Ini adalah hambatan terakhir yang disiapkan oleh Great King Zachariel. Baca epitaph di Apati Cliff dan dapatkan simbol keempat.
QUEST_LV_0100_20150804_007900	You have obtained the fourth symbol of the ordeal. Return to Historian Rexipher and talk to him again.	Kamu telah memperoleh fourth symbol of the ordeal. Kembali ke Historian Rexipher dan bicara dengannya lagi.
QUEST_LV_0100_20150804_007901	Historian Rexipher is thinking deeply about something as he sees the symbols. Talk to him again.	Historian Rexipher berpikir secara mendalam mengenai sesuatu yang ia lihat pada simbol-simbol. Bicara padanya lagi.
QUEST_LV_0100_20150804_007902	Historian Rexipher says that the symbols are covered with something so he asked you to get the teeth of Hogma that will be used as abrasives. Obtain Hogma's Tooth.	Historian Rexipher mengatakan bahwa simbol tertutupi dengan sesuatu sehingga ia meminta Kamu untuk mendapatkan Hogma Tooth yang akan digunakan sebagai pengikis. Dapatkan Hogma's Tooth.
QUEST_LV_0100_20150804_007903	Historian Rexipher disappeared with the symbols of the ordeal. Talk to Liaison Officer Bale at King's Plateau to ask about his whereabouts.	Historian Rexipher menghilang dengan symbols of the ordeal. Bicara dengan Liaison Officer Bale di King's Plateau dan tanyakan mengenai keberadaannya.
QUEST_LV_0100_20150804_007904	You must somehow find Rexipher since he has all the symbols of the ordeal. Ask him again.	Kamu harus menemukan Rexipher karena ia memiliki semua symbols of the ordeal. Tanyakan padanya lagi.
QUEST_LV_0100_20150804_007905	When you were about to release the seal of the barrier, monsters suddenly appeared. Defeat the monsters!	Ketika Kamu ingin melepaskan seal dari cliffs, monster tiba-tiba muncul. Kalahkan para monster!
QUEST_LV_0100_20150811_007906	You are doing great.{nl}As a Paladin Master, I must pay respect to your achievements.	Kamu melakukannya dengan baik.{nl} Sebagai Paladin Master, Aku harus menghormati prestasi Kamu.
QUEST_LV_0100_20150811_007907	To get to the Vubbe's base, go far right from here.{nl}It is miserable that I can't do anything as a mayor.	Markas Vube terdapat di sebelah kanan dari sini dengan memasukinya ke dalam.{nl} Sungguh menyedihkan karena tidak ada yang bisa kulakukan sebagai Kepala Desa.
QUEST_LV_0100_20150811_007908	If that's the case, become my bait and take care of the Royal Mausoleum defense device at Sesija Entrance.{nl}I will only say this once, so you better heed carefully.	Jika itu yang terjadi, Kamu akan menjadi umpan dan mengurus Royal Tomb defense device di Sesija Entrance.{nl} Aku hanya akan mengatakan ini sekali, jadi lebih baik Kamu mendengarkannya dengan seksama.
QUEST_LV_0100_20150811_007909	No one can disturb the eternal sleep of the great king.	Tidak ada yang bisa mengganggu eternal sleep dari great king.
QUEST_LV_0100_20150811_007910		Sedang menyalakan Api/FIRE/1.5/TRACK_BEFORE/SSN_HATE_AROUND
QUEST_LV_0100_20150811_007911		Notice/!/Membujuk spirit yang menuju ke Amolallul Hill{nl} dan membimbing mereka ke Sad Owl Sculpture!
QUEST_LV_0100_20150811_007912		Notice/Kamu telah mengalahkan Grey Golem!#8
QUEST_LV_0100_20150811_007913		Notice/Kamu telah memperoleh 1 Status Point dari artifacts of Ruklys!
QUEST_LV_0100_20150811_007914		Membuka Box/UNLOCK/2.5/TRACK_BEFORE/None
QUEST_LV_0100_20150811_007915		Notice/Kamu kembali dengan Hogma Teeth, namun Rexipher tidak sekitar!#8
QUEST_LV_0100_20150811_007916		Notice/Kamu memeriksa fourth tombstone Lydia Schaffen {nl} Periksa apa yang tertulis di tombstone terakhir itu.
QUEST_LV_0100_20150811_007917		Notice/Gaigalas mengganggu Kamu, ketika Kamu menyentuh akarnya!#5
QUEST_LV_0100_20150811_007918		Notice/Molich mengganggu Kamu, ketika Kamu menyentuh akarnya!#5
QUEST_LV_0100_20150811_007919		Kisah mengenai Ruklys tertulis di atasnya
QUEST_LV_0100_20150811_007920	Search for a clue of the disappearances from Sauga's bags 	Mencari petunjuk atas menghilangnya Sauga's bags.
QUEST_LV_0100_20150811_007921	Soldier Glen is concerned over the recent disappearances. Please look for clues to the whereabouts of the disappeared by defeating Sauga and searching them.	Soldier Glen prihatin atas penculikan yang terjadi baru-baru ini. Tolong cari petunjuk untuk menemukan keberadaan dari orang-orang yang hilang dengan mengalahkan Sauga dan cari mereka
QUEST_LV_0100_20150811_007922	Rescue the restrained souls	Selamatkan restrained souls
QUEST_LV_0100_20150811_007923	The restrained spirit is not the only one that is wandering. Listen for more details from the Sad Owl Sculpture.	Restrained spirit bukan satu-satunya yang bergentayangan. Mendengarkan rincian lebih lanjut dari Sad Owl Sculpture.
QUEST_LV_0100_20150811_007924	The Sad Owl Sculpture told you that something is wrong since the souls that went to see a Goddess Statue are suffering. Persuade the souls that are trying to go that Goddess Statue and take them to the Owl Sculpture.	Sad Owl Sculpture mengatakan bahwa ada sesuatu yang aneh semenjak para soul yang pergi untuk melihat Statue of Goddess, mereka menderita. Membujuk para soul yang mencoba untuk pergi ke Statue of Goddess dan bawa mereka ke Owl Sculpture.
QUEST_LV_0100_20150811_007925	It seems that the Sad Owl Sculpture heard about what is happening to the souls. Return to the Sad Owl Sculpture and ask what happened.	Tampaknya Sad Owl Sculpture mendengar tentang apa yang terjadi kepada para soul. Kembali ke Sad Owl Sculpture dan tanyakan apa yang terjadi.
QUEST_LV_0100_20150811_007926	Use the condensed magic source on sleeping Guardians	Gunakan condensed magic source kepada Guardian yang tertidur
QUEST_LV_0100_20150811_007927	Place the Soul Pot	Letakan Soul Pot
QUEST_LV_0100_20150811_007928	Stonemason Canolyn can't complete his trip to Fedimian due to the Cockatrices around. Defeat the Cockatrices along the road to Fedimian.	Stonemason Canolyn tidak dapat menyelesaikan perjalanannya ke Fedimian karena Cockatrices di sekitar. Kalahkan Cockatrices sepanjang jalan menuju Fedimian.
QUEST_LV_0100_20150811_007929	Stonemason Canolyn told you that a monster called Moa stole his toolbox. Defeat the Moa that fled to the Leipsna Chapel Site and look for the toolbox for him.	Stonemason Canolyn mengatakan bahwa monster yang disebut Moa mencuri toolbox-nya. Kalahkan Moa yang melarikan diri ke Leipsna Chapel Site dan cari toolboxnya.
QUEST_LV_0100_20150811_007930	Pursue Rexipher at the Royal Mausoleum Entrance	Mengejar Rexipher ke Royal Tomb Entrance
QUEST_LV_0100_20150923_007931	This place has become dangerous ever since Medzio Diena, when the monsters emerged.{nl}Go back quickly while you still can, Kepas will overrun this position soon.	Tempat ini telah menjadi sangat berbahaya sejak Medzio Diena, ketika para monster muncul.{nl}Kembali secepat mungkin selagi masih bisa, Kepas akan segera membanjiri tempat ini.
QUEST_LV_0100_20150923_007932	Ah, you said you came to tell me about the order to assemble, right?{nl}If you help me find my belongings, I will be able to do so more quickly.	Ah, Kamu datang untuk memberitahu Aku untuk berkumpul, bukan?{nl} Jika Kamu membantu Aku menemukan barang-barang Aku, Aku bisa melakukannya lebih cepat.
QUEST_LV_0100_20150923_007933	Have you ever tried offering worship to a Goddess Statue?{nl}The Goddesses might have vanished, but I believe they are still out there somewhere.	Apakah Kamu pernah mencoba menghormati Statue of Goddess?{nl} Para Goddess mungkin telah menghilang, tapi Aku percaya mereka masih ada di luar sana.
QUEST_LV_0100_20150923_007934	I was worried that the monsters would cause harm to the Goddess Statue.{nl}As much as the world is messed up.. That would be terrible.	Aku khawatir para monster akan merusak Statue of Goddess.{nl} Seperti dunia ini yang telah kacau.. Itu akan mengerikan.
QUEST_LV_0100_20150923_007935	This has really gotten out of hand.{nl}Who knew that Kepas could grow so big...{nl}I wonder if it's because of Medzio Diena?	Ini benar-benar diluar kendali.{nl} Siapa yang menyangka Kepas bisa tumbuh begitu besar...{nl} Aku ingin tahu apakah ini terjadi karena Medzio Diena?
QUEST_LV_0100_20150923_007936	Don't forget to worship a Goddess Statue when you see one.{nl}I'm sure doing so will bestow a blessing upon you.{nl}I firmly believe that the goddesses have not forsaken us.	Jangan lupa untuk menghormati Statue of Goddess ketika Kamu melihatnya.{nl} Aku yakin dengan begitu Goddess akan memberikan blessing kepada Kamu.{nl} Aku sangat percaya Goddess belum meninggalkan kita.
QUEST_LV_0100_20150923_007937	This is not the type of monster that can be encountered here so it is rather strange.{nl}This world is such a mess now.	Ini bukanlah jenis monster yang dapat ditemui di sini, ini agak aneh.{nl} Dunia ini semakin berantakan sekarang.
QUEST_LV_0100_20150923_007938	We need to assemble already?{nl}The world may be on the brink of destruction, but I can't accept this kind of insane order. {nl}I have enough missions on my hands as it is.	Kita harus segera berkumpul?{nl} Dunia mungkin berada di ambang kehancuran, namun Aku tidak bisa menerima perintah segila ini. {nl} Aku sudah cukup memiliki banyak misi di tangan Aku sekarang.
QUEST_LV_0100_20150923_007939	Alright. This should be enough.{nl}Here is a pill that instantly restores your stamina...{nl}I'll give you one as a gift since I have plenty.{nl}	Baiklah. Ini seharusnya cukup.{nl}Ini adalah pil yang akan langsung mengembalikan stamina Kamu... {nl} Aku akan memberikanmu satu sebagai hadiah karena Aku sudah memiliki banyak pil.{nl}
QUEST_LV_0100_20150923_007940	You can recover stamina through Tree Root Crystals or by taking a rest.{nl}But, you won't have time for that when you are being chased by monsters. {nl}This potion will come in handy in situations like that.	Kamu dapat memulihkan stamina di Tree Root Crystals atau dengan beristirahat.{nl} Namun, Kamu tidak akan punya waktu untuk itu, ketika Kamu sedang dikejar oleh para monster.{nl} Ramuan ini akan berguna pada situasi seperti itu.
QUEST_LV_0100_20150923_007941	I heard the news from my men and I was starting to become worried.{nl}With how messed up the world is, if that ended well, all is well.{nl}	Aku mendengar kabar itu dari orang-orang Aku dan Aku mulai khawatir.{nl} Dengan kacaunya dunia ini, jika itu berakhir dengan baik, maka semuanya akan menjadi baik. {nl}
QUEST_LV_0100_20150923_007942	It's not like there weren't any monsters at all four years ago, but they weren't so ferocious. {nl}Plant-type monsters seem to have been affected the most, as they weren't like this before.	Bukan seperti tidak ada satu monster sama sekali empat tahun yang lalu, namun mereka tidak begitu ganas.{nl} Plant-type monsters tampaknya paling terpengaruh, karena mereka tidak menyukai ini sebelumnya.
QUEST_LV_0100_20150923_007943	That's it, that's how you do it. Easy, right?{nl}There is no way to tell what is going to become of this world now that the goddesses have left,{nl}so we have to steadily put effort into things ourselves.	Begitu saja, itulah bagaimana Kamu harus melakukannya. Mudah, bukan?{nl} Tidak ada cara untuk mengetahui apa yang akan terjadi dengan dunia ini sekarang dimana Goddesses telah pergi, {nl} sehingga kita harus terus berusaha pada diri kita sendiri.
QUEST_LV_0100_20150923_007944	A shield that is advanced to level 4 will be enough.{nl}The determination should be checked.	Sebuah shield yang advanced ke level 4 akan cukup.{nl} Tekad harus terus terjaga.
QUEST_LV_0100_20150923_007945	You are so determined unlike other guys nowadays.{nl}You can come to learn from me anytime you want.	Kamu begitu memiliki tekad kuat tidak seperti orang lain saat ini. {Nl} Kamu bisa datang untuk belajar dari Aku kapan saja Kamu inginkan.
QUEST_LV_0100_20150923_007946	During your travels you might discover Goddess Statues scattered all over the kingdom.{nl}Worship these statues and you will certainly receive their blessings.	Selama perjalanan, Kamu mungkin menemukan Statue of Goddesss tersebar di seluruh kerajaan.{nl} Hormatilah statues itu maka Kamu pasti akan menerima blessing mereka.
QUEST_LV_0100_20150923_007947	Press {img F10 40 40} to open the Help menu for more information.	Tekan {img F10 40 40} untuk membuka menu Help untuk mengetahui informasi lebih lanjut.
QUEST_LV_0100_20150923_007948	Writings on the Wall	Writings on the Wall
QUEST_LV_0100_20150923_007949	Which factors are decisive for determining the outcome of battle?{nl}If you just continue to attack thoughtlessly, then you may get attacked instead.	Faktor-faktor yang menentukan hasil dari pertempuran?{nl} Jika Kamu hanya terus menyerang tanpa berpikir, maka Kamu yang mungkin akan diserang sebagai gantinya.
QUEST_LV_0100_20150923_007950	Golems in this situation...{nl}You remember what I taught you right?	Golems dalam situasi seperti ini... {nl} Kamu ingat apa yang Aku ajarkan?
QUEST_LV_0100_20150923_007951	Thank you for completing Laimonas' favor.{nl}You may enter Klaipeda.{memo Uska is a knight, keep the Sir} Sir Uska is waiting for the Revelators.	Terima kasih telah menyelesaikan permintaan Laimonas.{nl} Kamu dapat masuk ke Klaipeda. {Ingat Uska adalah seorang Knight, Gunakan panggilan Sir} Sir Uska sedang menunggu Savior.
QUEST_LV_0100_20150923_007952	There might be more of these Large Kepas roaming in the area nearby.{nl}Could you take a look for me, please?{nl}	Mungkin ada lebih banyak Large Kepas seperti ini berkeliaran di area terdekat.{nl} Bisakah Kamu memeriksanya untuk Aku, tolong?{nl}
QUEST_LV_0100_20150923_007953	It was just as I thought, right? It was this instinct that kept me alive during Medzio Diena.	Itu hanya karena pemikiran Aku saja, kan? Insting ini yang membuat Aku bisa bertahan hidup selama Medzio Diena.
QUEST_LV_0100_20150923_007954	It's been too long, my men should've come back, but I haven't heard anything from them yet.{nl}I know it's been four years since Medzio Diena, but my men have been getting too relaxed recently.	Sudah sangat lama, orang-orang Aku seharusnya sudah kembali, tapi Aku belum mendengar apapun dari mereka.{nl} Aku tahu itu sudah empat tahun sejak Medzio Diena, tapi orang-orang Aku terlalu santai akhir-akhir ini.
QUEST_LV_0100_20150923_007955	With the goddesses disappearing, and monsters like the Golem appearing... {nl}Is there really any hope?	Dengan menghilang para Goddess, dan munculnya monster seperti Golem... {nl} Apakah benar-benar ada harapan?
QUEST_LV_0100_20150923_007956	How was it? Were there many skills that seemed useful?{nl}If you use skills effectively, they will be very useful in combat.{nl}	Bagaimana itu? Apakah ada banyak skill yang terlihat berguna?{nl} Jika Kamu menggunakan skill secara efektif, itu akan sangat berguna pada pertempuran.{nl}
QUEST_LV_0100_20150923_007957		Periksa map dengan menekan 'M'
QUEST_LV_0100_20150923_007958	Avoid the Large Kepa's attacks by jumping!	Hindari serangan Large Kepa dengan melompat!
QUEST_LV_0100_20150923_007959	Find the location of the treasure by right-clicking on the treasure map!	Cari lokasi treasure dengan mengklik kanan pada treasure map!
QUEST_LV_0100_20150923_007960	A Yonazolem has appeared at the marked spot with the locked treasure chest!{nl}Defeat the Yonazolem to find clues to open the chest!	Yonazolem muncul di tempat yang telah ditandai dengan locked treasure chest!{nl} Kalahkan Yonazolem untuk menemukan petunjuk untuk membuka  treasure chest!
QUEST_LV_0100_20150923_007961	The treasure chest just disappeared!{nl}Right-click on the treasure map and look for the next location!	Treasure chest menghilang!{nl} Klik kanan pada treasure map dan cari lokasi berikutnya!
QUEST_LV_0100_20150923_007962	The treasure chest appeared again this time!{nl}Avoid the interruptions from monsters and check what's inside the chest!	Treasure chest terlihat lagi kali ini! {nl} Hindari gangguan dari monster dan periksa apa yang di dalam Treasure chest!
QUEST_LV_0100_20150923_007963	The treasure chest is empty!{nl}Right-click on the map and look for the next spot!	Treasure chest kosong!{nl} Klik kanan pada peta dan cari di tempat berikutnya!
QUEST_LV_0100_20150923_007964	The treasure chest appeared again!{nl}Avoid the interruptions from monsters and check what's inside the treasure!	Treasure chest terlihat lagi!{nl} Hindari gangguan dari para monster dan periksa apa yang di dalam treasure chest!
