ITEM_20150317_000001	Empty_helmet	없음_helmet	Empty_Helmet
ITEM_20150811_006150	An orb that has a Red Vubbe Shooter's spirit sealed within.	붉은 부베 궁수의 정신체가 봉인된 구슬입니다.	Orb yang memiliki Red Vubbe Shooter spirit yang terkunci didalamnya.
ITEM_20150811_006151	The Owl Sculpture's upper piece.{nl}Restoration is, unfortunately, infeasible.	부엉이 조각상의 윗 부분. 안타깝게도 복구는 힘들 것 같습니다.	Bagian atas Owl Sculpture.{nl}Perbaikan, sayangnya, tidak layak.
ITEM_20150811_006152	The Owl Sculpture's lower piece.{nl}The shape is barely recognizable.	부엉이 조각상의 아랫 부분. 형체를 간신히 알아볼 수 있을 정도입니다.	Bagian bawah Owl Sculpture.{nl}Bagian ini dapat dikenali.
ITEM_20150811_006153	A pedestal piece of the Owl Sculpture.{nl}It's about to break in half.	부엉이 조각상의 받침대 부분. 반토막나기 직전입니다.	Bagian alas Owl Sculpture.{nl}Tampak akan terbelah menjadi dua.
ITEM_20150811_006154	A special oil to burn the Owl Sculpture which has unfortunately been shattered.	안타깝게 부숴진 부엉이 조각상을 태우기 위한 특별한 기름입니다.	Special oil untuk membakar Owl Sculpture yang sayangnya telah hancur.
ITEM_20150811_006155	A wheat box containing a small number of grains. The box has been ripped apart.	소량의 곡물만 남은 곡물 상자. 엉망진창으로 뜯겨져 있습니다.	Wheat box yang berisikan sebagian kecil padi - padian. Box telah hancur.
ITEM_20150811_006156	A pocket which contains the strange medicine. When the Vubbes consume it, they become brave, but if humans consume it, they will have stomachache.	이상한 약이 가득 담긴 주머니. 부베가 먹으면 매우 용감해지지만 사람이 먹으면 복통을 유발한다고 합니다.	Pocket yang berisikan strange medicine. Ketika dikonsumsi Vubbes, mereka menjadi berani, tapi kalau manusia yang mengkonsumsi, mereka akan sakit perut.
ITEM_20150811_006157	A telescope lens used at the Astral Tower.	별의 탑에서 사용 되었다는 망원경 렌즈입니다.	Lensa teleskopdigunakan di Astral Tower.
ITEM_20150811_006158	Poison sample from bats.	박쥐에게서 추출한 독 견본입니다.	Contoh poison dari bats.
ITEM_20150811_006159	A stone carried by the Hogmas. It attracts monsters.	호그마들이 지니고 있는 돌. 몬스터를 불러온다고 합니다.	Stone yang dibawa oleh Hogmas. Memancing monster.
ITEM_20150811_006160	Friedka believes that this amulet is the key to the ruin's secrets.	프리드카는 이 호신부가 유적의 비밀을 풀기 위한 열쇠라고 믿고 있습니다.	Pridca percaya bahwa amulet ini adalah kunci ke ruin secret.
ITEM_20150811_006161	Supplies of the unit which Lynt is a part of. A Wendigo ran away with it.	린트가 소속된 부대의 보급품. 웬디고가 훔쳐 달아나버렸습니다.	Suppy dari unit yang mana Lynt adalah bagian dari itu. Wendigo membawa kabur itu.
ITEM_20150811_006162	A herb with a decent painkiller effect.	진통제 대신으로 쓸 만한 약초라고 합니다.	Herb dengan efek painkiller.
ITEM_20150811_006163	This stone is said to attract Sauga. Could this be true?	이걸로 사우가스를 유인할 수 있다는데 사실일까요?	Stone yang dikatakan menarik bagi Sauga. Apakah ini benar?
ITEM_20150811_006164	A fragment of a relic swallowed by Denoptic. A monster that feeds on stone, how curious.	덴옵틱이 삼킨 유물의 파편. 돌을 먹는 몬스터라니 이상합니다.	Fragment dari relic yang ditelan oleh Denoptic. Monster yang memakan itu membuat penasaran.
ITEM_20150811_006165	A pouch of coins meant for payment. Grave Robber Kujang asked you to deliver this to Grave Robber Bushobell.	물품 주머니, 도굴꾼 쿠쟝이 도굴꾼 부쇼벨에게 전해달라고 부탁한 보수입니다.	Pouch of coins yang dimaksud untuk pembayaran. Graverobber Kujang meminta kamu untuk mengantrkan ini kepada Graverobber Bushobell.
ITEM_20150811_006166	Treasure that belonged to human victims and was hoarded by the monster.	몬스터들이 사람들을 해치고 빼앗은 물건들입니다.	Harta benda milik Human, korban kejahatan monter telah dirampas.
ITEM_20150811_006167	The belongings of a soldier, stolen by a Leaf Bug. {nl}Looks like it's not the first time it has been stolen.	잎방개가 훔쳐간 정찰병의 짐. 한 두번 훔쳐간 게 아닌 것 같습니다.	Barang - barang dari soldier, dicuri oleh Leaf Bug. {nl}Kelihatannya ini bukan pertama kalinya .
ITEM_20150811_006168	A ripped cloth piece from Vubbe. It's from the dirty waist area.	찢겨진 부베의 옷 조각. 허리춤의 지저분한 부분입니다.	Potongan cloth dari Vubbe. Ini berasal dari dirty waist area.
ITEM_20150811_006169	If seems you can use this somewhere if you gather enough Vubbe toenails.	위버 발톱도 모아 놓으면 쓸 데가 있다고 합니다.	Tampaknya kamu dapat menggunakan ini disuatu tempat kalau kamu mengumpulkan Vubbe toenail yang cukup.
ITEM_20150811_006170	Goods used as a provision for emergencies in the Mining Town.	광산 마을에 사고가 날 경우를 대비해 모아 놓은 구호품입니다.	Barang - barang yang digunakan untuk perlengkapan saat keadaan emergenci di Mining Town.
ITEM_20150811_006171	Material required for reinforcement of the mine's exterior wall. Collect them before the wall crumbles.	광산 외벽을 보강하는데 필요한 자재. 무너지기 전에 빨리 모아 주세요.	Material required for reinforcement of the mine's exterior wall. Collect them before the wall crumbles.
ITEM_20150811_006172	A stick used to expel Sequoia. It has a few holy spirits.	세콰이아를 쫓아내려고 만든 꼬챙이. 신성한 기운이 조금 깃들어 있습니다.	Stick yang digunakan untuk merapal Sequoia. Itu memiliki sedikit holy spirit.
ITEM_20150811_006173	Ingredient for a tool that chases away road-blocking Sequoia. You can feel the faint holy power.	길을 막고 있는 세콰이아를 쫓아내기 위한 도구를 만들기 위한 재료. 신성한 힘이 미약하게 느껴집니다.	Bahan - bahan untuk perlengkapan menghalau road-blocking Sequoia. Kamu dapat merasakan keuatan holy power.
ITEM_20150811_006174	Warrior's Essence. It is very necessary to give Sequoia the very best bit.	무명용사들의 정수. 세콰이아에게 강력한 한방을 먹이기 위해 꼭 필요합니다.	Warrior Essence. Sangat penting untuk memberikan kepada Sequoia bit yang terbaik.
ITEM_20150811_006175	This stick was made by upgrading a Stinging Stick. It is capable of subduing Sequoia.	따끔한 꼬챙이를 보강하여 만든 꼬챙이. 이걸로 세콰이아가 더 이상 날뛸 수 없게 할 수 있다고 합니다.	Stick yang dibuat dengan mengupgrade Stinging Stick. Adalah kemampuan subduing Sequoia.
ITEM_20150811_006176	The larvae of Meduja are eating away at the memories of life. They're sparkly.	영혼의 기억을 머금고 있는 미듀자 유충. 반짝반짝 거립니다.	Larvae of Meduja menghancurkan memories of life. Mereka terlihat gemerlap.
ITEM_20150811_006177	The luggage of a dead merchant. His spirit is obsessed with it.	죽은 상인이 가지고 있던 짐꾸러미. 상인의 영혼은 이 짐꾸러미에 집착하고 있습니다.	Koper dari dead merchant. Rohnya terobsesi akan hal itu.
ITEM_20150811_006178	A scroll of protection. It seems the scholar's spirit was vanquished before using it.	수호용 주문서. 학자의 영혼은 이 주문서를 사용하지 못하고 죽은 것 같습니다.	Scroll of protection. Tampaknya roh scholar telah tewas sebelum menggunakannya.
ITEM_20150811_006179	A rubbed copy of the monument that the female explorer was looking for.	여류 탐험가가 찾던 추모비를 탁본한 사본. 아름다운 노랫 구절이 적혀 있습니다.	Rubbed copy dari monumen yang female explorer cari - cari.
ITEM_20150811_006180	This stick was made by upgrading a Spiritual Stick. It holds the grudges of the Owl Sculptures..	영력이 깃든 꼬챙이를 보강한 꼬챙이. 부엉이 조각상들의 원념이 담겨 있습니다.	Stick ini dibuat dengan mengupgrade Spiritual Stick. Itu mengandung dendam dari Owl Sculptures..
ITEM_20150811_006181	A keepsake from a dead soldier who was killed by monsters. It seems that the keepsake can comfort the soldiers' victimized spirit.	몬스터들에게 당한 병사들의 유품. 이걸로 병사들의 넋을 달랠 수 있을 것 같습니다.	Keepsake dari dead soldier yang dibunuh oleh monster. Tampaknya keepsake membuat nyaman para arwah.
ITEM_20150811_006182	This smell reminds me of my hometown.{nl}I miss my home.	고향의 향이 생각나게 하는 향. 왠지 그립습니다.	Wangi ini mengingatkan ku pada kampung halaman.{nl}Aku merindukan rumah ku.
ITEM_20150811_006183	An abnormally scented Ridimed Leaf.	뭔가 기묘한 냄새가 나는 리디메드의 잎사귀.	Wangi daun Ridimed yang tidak normal.
ITEM_20150811_006184	Abnormally smelling juices are oozing from it.	굉장한 냄새가 나는 즙이 뿜어져 나옵니다.	Wangi tidak normal dari jus yang mengalir.
ITEM_20150811_006185	A monster bait to complete the last mission of dead soldiers.	죽은 병사들의 마지막 임무를 위한 몬스터 미끼.	Monster bait untuk menyelesaikan mission terakhir dari dead soldiers.
ITEM_20150811_006186	Let's test it on a monster to confirm that it is working.	잘 듣는지 몬스터에게 미리 몬스터에게 시험해 보세요.	Mari kita coba ke monster untuk memasitkan hal ini bekerja.
ITEM_20150811_006187	Old Kepa skin. The powder falls off it when shaken.	늙은 케파의 껍질. 가루가 풀풀 날립니다.	Old Kepa skin. Powder akan jatuh ketikan di goyang.
ITEM_20150811_006188	Needed to make the bait more convincing. Will this bait work well?	미끼를 좀 더 그럴듯하게 보이기 위해 필요합니다. 잘 속일 수 있을까요?	Perlu untuk membuat bait makin meyakinkan. Apakah bait ini akan bekerja dengan baik?
ITEM_20150811_006189	A corpse of Johan's squad. Please treat them well.	요한의 분대원들의 유해. 잘 수습해 주세요.	Mayat dari pasukan Johan. Tolong perlakukan mereka dengan baik.
ITEM_20150811_006190	A hook that soldier Roy has to collect. He can return to his troops as soon as he collects it.	병사 로이가 모아야 할 갈고리. 이걸 빨리 모아야 로이가 복귀할 수 있습니다.	Hook yang ingin didapatkan soldier Roy. Dia dapat kembali ke pasukannya segera setelah ia mendapatkannya.
ITEM_20150811_006191	Parts of it are covered in blood and unable to be read. Some parts are legible.	피에 젖어 내용이 잘 보이지 않는다. 일부는 읽어 볼 수 있을 것 같습니다.	Bagian dari ini tertutup blood dan tidak dapat dibaca. Sebagian lainnya masih layak.
ITEM_20150811_006192	A material used to fix the wagon. Cut from the the hard part of the stem of a Hamming.	수레를 수리하기 위해 필요한 재료. 하밍의 줄기 중 단단한 부분만 잘라냈습니다.	Material yang digunakan untuk memperbaiki wagon. Didapat dari bagian yang keras  dari stem of a Hanaming.
ITEM_20150811_006193	Fluid secreted from a Tini's gland. It has a sting to it.	티니의 분비샘에서 모은 분비액. 약간 따끔합니다.	Cairan rahasia dari Tiny gland. Ini menyengat.
ITEM_20150811_006194	A herbicide made from the fluid of a Tini. You can remove thornbushes with it.	티니의 분비액으로 만든 제초제. 이걸로 가시덤불을 없앨 수 있다고 했습니다.	Herbicide yang dibuat dari cairan Tiny. Kamu dapat memindahkan thornbushes dengan itu.
ITEM_20150811_006195	A certification awarded to soldiers who have safely completed training. Read it proudly.	무사히 훈련을 마친 병사에게 수여되는 수료증. 자랑스럽게 읽어보세요.	Sertifikat yang diberikan kepada soldier yang telah berhasil menyelesaikan training. Baca dengan bangga.
ITEM_20150811_006196	The soft parts of Plantain Grass gathered up. It tastes bitter when chewed.	질경이 풀의 부드러운 부분만 모은 것. 씹으면 쓴 맛이 납니다.	Bagian yang empuk dari Plantain Grass dikumpulkan. Terasa pahit ketika dikunyah.
ITEM_20150811_006197	Empty potion bottle stolen by a Vubbe. It sparkles as if it has been vigorously cleaned.	부베들이 훔쳐가 버린 빈 포션병. 열심히 닦았는지 반짝거립니다.	Botol Empty potion yang dicuri oleh Vubbe. Itu bersinar dan telah dibersihkan.
ITEM_20150811_006198	An item that proves one's ability to the Sword Master. It's the heart of Stone Orca.	소드마스터에게 실력을 증명하기 위한 전리품. 스톤오르카의 심장입니다.	Item yang membuktikan kemampuan kepada Sword Master. Itu adalah Jantung dari Stone Orca.
ITEM_20150811_006199	A Vubbe ointment that is used to treat their injured. It's not possible to use it as is.	다친 사람들을 치료하는데 쓸 부베들의 고약. 그냥은 쓸 수 없을 것 같습니다.	Vubbe ointment yang digunakan untuk merawat mereka yang terluka. Tidak memungkinkan untuk menggunakan sebagaimana mestinya.
ITEM_20150811_006200	A slate that ordered the Guardians to attack evil things. They are attacking everyone because it is broken.	수호자들이 마족들을 색출하여 공격하게 명령하던 석판. 지금은 파괴되어 침입자 모두를 공격합니다.	Batu tulis yang memerintahkan Guardians untuk menyerang hal jahat. Mereka menyerang semua orang karena rusak.
ITEM_20150811_006201	A stone that lights stone lanterns.{nl}Although it is burning, it isn't very hot.	석등을 켤 수 있는 돌. 불타고 있지만 뜨겁진 않습니다.	Stone yang meninari lentera stone.{nl}Walaupun terbakar itu tidak terlalu panas.
ITEM_20150811_006202	Overusing the inhibitor can cause it to overheat and break.	억제기에 과도하게 사용하면 억제기가 과열되어 부서지게 된다고 합니다.	Menggunakan inhibitor secara berlebihan dapat menyebabkan overheat dan rusak.
ITEM_20150811_006203	A token of Wheelens. Collecting them gives the power to defeat enemies.	휠렌이 지니고 있는 증표. 모으면 사악한 무리에 대적할 힘을 줍니다.	Token dari Wheelen. Mengumpulkannya memberikan power untuk mengalahkan musuh.
ITEM_20150811_006204	A diary that Coben asked you to find.	코벤이 찾아달라던 형님의 일지입니다.	Diary yang diminta Coben untuk ditemukan.
ITEM_20150811_006205	A lump of fat that was pulled out after defeating Cockatrice.	코카트리스를 처치하고 채취한 지방 덩어리.	Gumpalan lemak yang keluar setelah mengalahkan Cockatrice.
ITEM_20150811_006206	Charcoal found from Hallowventers.	할로우벤터에게서 찾아낸 목탄.	Charcoal ditemukan dari Hallowventers.
ITEM_20150811_006207	If you set up this jar, it will absorb magical power from around you.	설치하면 주변의 마력을 흡수합니다.	Kalau kamu mengset  jar ini, itu akan menyerap magical power dari sekitar kamu.
ITEM_20150811_006208	Could be a cause of the disease.	타라 마일즈는 병을 옮길지도 모르는 원인중의 하나라고 합니다.	Bisa jadi penyebab dari penyakit.
ITEM_20150811_006209	A gem that absorbs a monster's life force. It absorbs the life force of monsters defeated near it.	몬스터의 생명력을 담을 수 있는 보석. 적당한 범위 내에 처치된 몬스터의 생명력을 흡수해 버립니다.	Gem yang menyerap life force dari monster. Itu menyerap life force dari monster yang sudah kalah disekitar nya.
ITEM_20150811_006210	A scroll required to solve the seal of King Zachariel. It is the first seal.	자카리엘 왕의 봉인을 푸는 데 필요한 스크롤. 첫 번째 봉인입니다.	Scroll yang dibutuhkan untuk membuka seal dari King Zachariel. Ini ada seal pertama.
ITEM_20150811_006211	Any monster that uses fire abilities has a source.{nl}It is used to make Flame Gems.	불의 힘을 가진 몬스터라면 누구든 가지고 있는 근원. 홍염의 보석을 만드는데 쓰입니다.	Monster apapun yang mengguabakan kemampuan fire memiliki source.{nl}Itu dapat digunakan untuk membuat Flame Gems.
ITEM_20150811_006212	Makes finding fire easy but how Grita got it is a mystery.	불의 단지를 찾는데 용이하다만 어째서 그리타가 가지고 있을까요?	Membuat menemukan api mudah tapi bagaimana Grita mendapatkannya masih berupa misteri.
ITEM_20150811_006213	Research material stolen by monsters. It seems that monsters like to steal such documents.	몬스터가 훔쳐간 연구자료. 연구자료는 몬스터에 의한 도난이 유독 잦은 것 같습니다.	Research material dicuri oleh monsters. Tampaknya para monster suka mencuri hal seperti itu.
ITEM_20150811_006214	Hard lime used to make forgeries.	위조품을 만드는데 사용할 딱딱한 석회. 이걸로 본을 뜨는 건가 봅니다.	Hard lime digunakan untuk membuat forgeries.
ITEM_20150811_006215	A counterfeit item proving the existence of forgery.{nl}It is yet to be finished.	위조의 결정적인 증거가 될 위조품. 아직 마무리가 남았습니다.	Counterfeit item membuktikan eksistensi dari tiruan.{nl}Tapi masih belum terselesaikan.
ITEM_20150811_006216	Piece of a building with beautiful pattern on it. It seems that the architect put a lot of work into making it.	멋진 문양이 담겨 있는 건축물 조각. 엄청나게 공을 들인 것 같습니다.	Bagian dari gedung dengan corak yang indah. Tampaknya para arsitek bersungguh -singgih dalam membuatnya.
ITEM_20150811_006217	There are various tools inside, like a dowsing rod to check for underground tombs.	땅 속에 무엇이 들어 있는지 알 수 있는 꼬챙이 등 다양한 도구가 들어 있습니다.	Ada beragam tool didalam, seperti dowsing rod untuk memeriksa underground tomb.
ITEM_20150811_006218	The Saugas store their loot in bags.{nl}They share their loot equally.	사우가들이 전리품을 넣고 다니는 주머니. 사우가들은 전리품을 공평하게 나눠갖는다고 합니다.	Saugas menyimpan barangnya di bag.{nl} Mereka membagi barangnya sama rata.
ITEM_20150811_006219	A very ancient looking token of an archaeologist.	아주 오래되어 보이는 고고학자의 징표.	Token yang sangat langka dari archaeologist.
ITEM_20150811_006220	The highly toxic poison of a Woodfung. It releases this poison into the air when frightened.	강력한 독성을 지닌 우드펑의 독. 영기가 서린 독에 움찔거리며 반응을 합니다.	Toxic poison dari Woodfung yang sangat tinggi. Ia mengeluarkan racun ini ke udara ketika merasa terancam.
ITEM_20150811_006221	A sack holding a monster's hand	몬스터의 손이 들어있는 자루.	Kantung yang berisikan monster hand
ITEM_20150811_006222	Lizardman Blood is used in experiments conducted by necromancers.	사령술사의 실험에 필요한 리자드맨의 피.	Lizardman Blood yang digunakan dalam eksperimen yang dilakukan oleh necromancers.
ITEM_20150811_006223	A soul jar given by the Necromancer Drasius. It will inhale monsters who are on the verge of death.	사령술사 드라슈스가 준 마법 항아리. 곧 죽을 것 같은 몬스터들을 빨아들입니다.	Soul jar yang diberikan oleh Necromancer Drasius. Ini akan menyedot monster yang di ambang kematian.
ITEM_20150811_006224	A symbol which represents that someone passed the ordeal that was prepared by the Great King Zachariel. It seems to be related to the seal of the Royal Mausoleum.	자카리엘 대왕이 준비한 시련을 통과했다는 증표. 왕릉의 봉인과 관련이 있어 보입니다.	Simbol yang lambangkan sesorang telah menyesaikan ordeal yang dipersiapkan oleh Great King Zachariel. Sepertinya berkaitan dengan seal dari Royal Tomb.
ITEM_20150811_006225	A sword with a piece missing from it.	이가 빠진 칼입니다.	Sword dengan bagian yang hilang.
ITEM_20150811_006226	These relics might help identify the dead bodies.	시신의 신원을 알 수도 있는 유품.	Relic ini mungkin menolong mengidentifikasi mayat - mayat.
ITEM_20150811_006227	This piece fits into the Chipped Sword.	이가 빠진 부분과 딱 맞는 조각.	Bagian ini cocok dengan Chipped Sword.
ITEM_20150811_006228	Wood picked from the wood pile by Cahill.	케이힐이 쌓아놓은 목재 중 쓸만한 것을 골랐습니다.	Wood diambil dari wood pile oleh Cahill.
ITEM_20150811_006229	Leather that can be used in a variety of ways. The age of the leather means that it can be used immediately.	여러 가지 가죽 제품에 쓰이는 가죽. 날것이지만 바로 쓸 수 있다는 게 장점입니다.	Leather yang dapat digunakan dengan berbagai cara. Age of the leather berarti itu dapat digunakan dengan segera.
ITEM_20150811_006230	A letter containing the heart of Moses Diesel.	모제 디셀의 마음이 담긴 편지.	Letter yang mengandung heart dari Moses Diesel.
ITEM_20150811_006231	Moses Diesel made these crutches for the village youngster Cahill.	모제 디셀이 마을 청년 케이힐을 위해서 만든 목발.	Moses Diesel membuat crutches ini, untuk  pemuda village Cahill.
ITEM_20150811_006232	The first material Ahylas Jonas requested to undo the seal.	봉인을 풀기 위해 아힐라스 요나스가 요구한 첫 번째 재료.	Material pertama Ahylas Jonas minta untuk mengulang seal.
ITEM_20150811_006233	An ingredient to make a Crystal Gem.	결정석을 만들기 위한 재료.	Bahan - bahan untuk membuat Crystal Gem.
ITEM_20150811_006234	A crystal needed to release the seal of Ramstis Ridge	람스티스 협곡의 봉인을 해제하는데 필요한 결정석.	Crystal dibutuhkan untuk melepaskan seal dari Ramstis Ridge
ITEM_20150811_006235	A research report lost by the new Royal Mausoleum researcher. Someone has stepped on it and blurred the characters. It's just barely readable.	신입 왕릉 연구원이 잃어버린 연구 자료. 누가 밟았는지 글자가 군데군데 뭉개져 있습니다. 간신히 읽어볼 수는 있습니다.	Kehilangan research report dilaporkan oleh Royal Tomb researcher yang baru. Seseorang telah minginjak dan menyamarkan. Ini hampir tidak dapat dibaca.
ITEM_20150811_006236	Could someone eventually find out the location of the Great King Zachariel's inheritance?	드디어 자카리엘 대왕이 숨겨둔 유산을 찾을 수 있는 것일까요.	Dapatkah seseorang  pada akhirnya menemukan lokasi dari harta peninggalan Great King Zachariel?
ITEM_20150811_006237	An antidote that can counteract Scorpion's poison. Let's bring this to Dezic.	스콜피온의 독을 중화시킬 수 있는 해독제. 어서 데지크에게 갖다 주세요.	Antidote yang dapat melawan Scorpion poison. Mari bawa ini kepada Dezic.
ITEM_20150811_006238	It seems it will explode if it is touched. Be careful.	건드리면 폭발할 것 같은 마력의 응집원. 조심히 다뤄주세요.	Tampaknya akan meledak apabila disentuh. Berhati - hatilah.
ITEM_20150811_006239	Meat gotten by slaying Infroburks. It looks tough.	인프로버크를 처치해서 획득한 고기. 질겨 보입니다.	Meat yang didapatkan dengan cara membunuh Infroburks. Itu terlihat a lot.
ITEM_20150811_006240	It seems to use as a firewood.	트리암불로의 잔해들. 장작으로 사용할 수 있을 것 같습니다.	Tampaknya digunakan untuk Kayu bakar.
ITEM_20150811_006241	Lydia Schaffen's tombstone piece regained from Cemetery Golems and Guri.	묘지 골렘과 구리에게서 되찾은 리디아 샤펜의 비석.	Bongkahan batu nisan Lydia Schaffen diperoleh dari Pemakaman Golems dan Guri.
ITEM_20150811_006242	A piece of a broken tombstone found from a Sea Turtle. You have to put the pieces of tombstone together to see whose it is.	비석 거북에게서 얻은 비석 조각. 조각을 전부 맞춰야 비석의 내용을 제대로 볼수 있습니다.	Bongkahan dari batu nisan yang rusak ditemukan di Sea Turtle. Kamu harus menyatukan potongan dari batu nisan itu untuk mengetahui batu nisan siapakah itu.
ITEM_20150811_006243	Finally restored the tombstone. What is in there?	드디어 복원을 마쳤다. 어떤 내용이 담겨 있을까요?	Akhirnya nisan yang sudah selesai. Ada apa disitu?
ITEM_20150811_006244	A piece of Flurry's tombstone that a Tama picked up and ate.	타마가 주워 먹은 플러리의 비문.	Bagian dari Flurry's tombstone yang diambil dan dimakan Tama.
ITEM_20150811_006245	Luggage filled with odds and ends.	잡동사니가 들어있는 짐가방.	Luggage yang berisi barang tidak berguna.
ITEM_20150811_006246	A magical black powder made from coal that makes ink stick clearly onto parchment.	양피지의 잉크 흔적을 또렷하게 만들어 주는 마법의 흑탄 가루.	Magical black powder dibuat dari coal itu yang membuat ink terlihat jelas di parchment.
ITEM_20150811_006247	A material needed to open the sealed manual. Doesn't go out no matter how much you try.	설명서의 봉인을 풀 때 필요한 재료. 아무리 밟아도 꺼지지 않습니다.	Material yang dibutuhkan untukmembuka seal secara manual. Tidak akan keluar sebesar apapun kamu berusaha.
ITEM_20150811_006248	The Holy Ark for holding souls has been broken. Will collecting its pieces be enough?	영혼을 담을 성궤가 산산히 부숴져 있다. 조각만 모으면 되는 걸까요.	Holy Ark untuk menimpan souls telah rusak. Apakah mengumpulkan bagiannya akan cukup?
ITEM_20150811_006249	A monster's Small Crystal that the Suspicious Chair asked you to collect. To call it a crystal is a stretch, though.	수상한 의자가 모아오라고 한 몬스터 사리. 사리라고 하기엔 무리가 있긴 합니다.	Kursi crystal kecil milik monster yang harus dikumpulkan. Tapi sulit untuk mengatakan bahwa ini crystal.
ITEM_20150811_006250	The voice of a spirit sealed within the Sealed Stone. You can hear a faint whisper from it.	봉인석에 봉인된 영혼의 목소리. 뭔가 소리가 나는 것 같은데요?	Suara roh disegel dalam Sealed Stone. Kamu dapat mendengar bisikan samar dari itu.
ITEM_20150811_006251	A crystal infused with magic to prevent the sealed spirit from escaping.	봉인된 영혼이 달아나지 않도록 속박하고 있는 마력의 결정.	Magic Crystal yang menahan sealed soul agar tidak bisa kabur.
ITEM_20150811_006252	The Variation Mediator substance that the Variation Magician Furry Odd asked you to collect.	변이술사 퍼리 오드가 구해 달라고 부탁한 변이 매개 물질.	Variation mediator yang diminta Furry Odd of Variation Magician untuk dikumpulkan.
ITEM_20150811_006253	A crystal that has been carelessly burnt.	이도 저도 아닌, 아무렇게나 타 버린 결정.	Sebuah crystal yang terbakar karena kecerobohan.
ITEM_20150811_006254	A burning charm. Because it was in a monster's stomach, it is wet and smells bad.	불타는 부적. 몬스터의 뱃속에서 나와서 그런가 축축하고 냄새가 납니다.	Charm terbakar. Karena berada di dalam perut monster, jadi agak basah dan berbau tidak enak.
ITEM_20150811_006255	Silver dye used for Simon Shaw's tattoo. It is relatively easy to get.	사이먼 쇼우의 문신에 사용되는 은색의 염료. 비교적 구하기 쉽습니다.	Pewarna silver digunakan untuk tato Shaiman Shaw. Mudah di dapat.
ITEM_20150811_006256	A parchment given to you by Cordelier. Although black coal powder has been used on it, it is hard to see the letters because of the dark color.	코델리어가 건네 준 양피지. 흑탄가루는 잘 붙어 있지만 색이 너무 어두워서 글씨가 보이지 않습니다.	Cordelia memberikan sebuah sobekan kertas. Terdapat sebuah tulisan, tapi terlalu kusam, sehingga text sulit dibaca.
ITEM_20150811_006257	The power source that moves the Red Infrorocktor. Grita, who can't use magic, needs it.	붉은 인프로 락터를 움직이게 하는 동력원. 마력을 쓸 수 없는 그리타에게 필요합니다.	Sebuah kekuatan yang menggerakkan Red Infro Rockter. Grita yang tidak dapat menggunakan mantra sihir membutuhkannya
ITEM_20150811_006258	Needed to stabilize the Jewel of Prominence.	홍염의 보석을 안정시키는데 필요하다고 합니다.	Dibutuhkan untuk menstabilkan Jewel of Prominence.
ITEM_20150811_006259	It contains instructions on how to eliminate the thorn vines. Familiarize yourself with it.	가시 덩굴을 없앨 방법이 적힌 메모지. 읽어서 숙지하세요.	Petunjuk tentang cara untuk menghilangkan tanaman rambat berduri. Mari kita menghafalkannya dengan membaca
ITEM_20150811_006260	A crystal needed to remove thorn vines by holy power. It needs charging and refining to be used.	신성한 마력의 힘으로 가시덩굴을 없애기 위해 필요한 수정. 충전과 정제 과정이 필요합니다.	Crystal dibutuhkan untuk melepas tanaman berduri dengan kekuatan suci. Membutuhkan pengisian dan pemurnian untuk menggunakan.
ITEM_20150811_006261	The remains of a Thornball. Burns well, even in the rain.	불에 아주 잘 타는 던볼의 잔해. 비가 와도 문제 없습니다.	Sisa-sisa dari Thornball cepat membakar. Hujan tidak menjadi masalah untuknya.
ITEM_20150811_006262	Some fluid with a sour smell that oozed out from a toenail.	발톱의 끝에서 신 냄새가 나오는 액체가 흘러나옵니다.	Cairan dengan bau asam yang keluar dari kuku jari kaki.
ITEM_20150811_006263	A useful fluid for flushing out the mini Griba that has become a parasite on Greepelli's hair.	트리펠리 털에 기생하는 미니 그리바를 내쫓는데 유용한 액체.	Cairan yang berguna untuk mengeluarkan mini Griva, yaitu parasit pada rambut Greepelli.
ITEM_20150811_006264	Adele treasures this ring. Let's get it back to Adele.	아델레가 소중히 여기는 반지. 아델레에게 돌려 주세요.	Adele merawat cincin ini. Ayo kembalikan pada Adele.
ITEM_20150811_006265	A strong acid solution that can melt through thorn stems.	가시 줄기를 녹일 정도의 강한 산성을 지닌 산성 용액.	Solution acid yang kuat, bahkan mampu melelehkan tanaman berduri.
ITEM_20150811_006266	An Operor's stinger that has the power to purify corrupted magic crystals.	탁한 마력수정을 정화시켜 줄 힘을 지닌 오페러의 침.	Operor's spit memiliki kekuatan untuk menyucikan crystal yang rusak.
ITEM_20150811_006267	A completely purified magical crystal. It can remove the thorn vines blocking the path.	완전히 정화된 마력 수정. 이것으로 길을 막고 있는 가시 덩굴을 없앨 수 있습니다.	Magical crystal yang telah disucikan. Bisa menghilangkan tanaman merambat yang menghalang.
ITEM_20150811_006268	A highly volatile sap. It is essential for burning away wet thorn vines.	휘발성이 강한 수액. 비에 젖은 가시덩굴을 불태우려면 꼭 필요합니다.	Highly Volatile Sap. Item penting untuk membakar tanaman merambat yang basah.
ITEM_20150811_006269	A medicine effective in restoring one's mind.	정신을 되찾을 때 효력이 있다는 약.	Medicine yang berfungsi untuk menyadarkan pikiran.
