QUEST_UNUSED_20150317_000001	A ha, you're on your way to see Master Pardoner. I wish you luck.	아하, 파드너 마스터에게로 가는 길이로군. 무운을 빕지요.	Oh, sedang menuju ke Master Pardoner. Semoga beruntung.
QUEST_UNUSED_20151116_001487	Yes. This would be enough.{nl}Crafting is not that hard so if you wait a bit, I will make it for you.	네. 이정도면 충분히 쓸만하군요.{nl}제작이 어려운 것은 아니니 잠시만 기다리시면 만들어드리지요.	Ya. Jika sebanyak ini maka dapat cukup membuatnya.{nl} Karena pembuatannya tidaklah sulit, tunggulah sebentar hingga selesai ya.
QUEST_UNUSED_20151116_001488	It is almost done.	거의 다 되어 갑니다.	Sudah hampir selesai.
QUEST_UNUSED_20151116_001489	It is a decent object so you would be able to stand for some time.{nl}Give it to him.	자, 꽤 괜찮은 물건이니 한 동안은 버틸 수 있을 겁니다.{nl}이걸 건네 주세요.	Nah, karena ini benda yang cukup bagus, maka dapat bertahan cukup lama.{nl} Berikanlah ini kepadanya.
QUEST_UNUSED_20151116_001490	Ask him to come by Orsha sometimes.	가끔은 오르샤에도 들르라고 전해 주세요.	Sampaikanlah untuk sering mampir ke Orsha.
QUEST_UNUSED_20151116_001491	Damn... I knew that it was taking longer than expected, but I didn't know that you made such efforts.{nl}Thank you. Of course, you are a Dievdirbys from now on.	어머... 생각보다 오래 걸리신다 싶었더니 그런 수고를 하셨군요.{nl}감사합니다. 물론 지금부터 당신도 딥디르비랍니다.	Wahh... Ternyata ini memakan waktu yang lama dibandingkan dugaan ya, maaf merepotkan.{nl}Terima kasih. Tentu saja mulai sekarang kamu adalah seorang Dievdirbys.
QUEST_UNUSED_20151116_001492	You've improved a lot! Everyone would acknowledge your skills.{nl}It's just.. you fall little short according to my father's standards.{nl}I will help you to reach a higher stage.	정말 실력이 많이 느셨군요! 누구에게 보여주더라도 손색이 없을 실력입니다.{nl}단지 저희 아버지의 기준으로는 아직도 부족하지 않을까 싶네요.{nl}한 단계 더 높은 경지에 다다를 수 있도록 제가 도와드리죠.	Kemampuan kamu sungguh berkembang pesat rupanya! Kemampuan yang tidak ada tandingannya walau diperlihatkan kepada siapapun.{nl} Hanya saja, entah apa masih kurang menurut standar ayah saya ya.{nl} Akan saya bantu agar dapat mencapai satu tingkatan lebih tinggi lagi.
QUEST_UNUSED_20151116_001493	Alright. Then prove you're ready to learn some advanced techniques.{nl}Show me how much you've mastered the basics.	좋습니다. 상급 기술을 배울 수 있는 실력이 되는지 한번 더 검증해보죠.{nl}기존의 기술을 얼마나 잘 다룰 수 있는지를 보겠습니다.	Bagus. Mari coba kita cek sekali lagi, apakah kemampuanmu telah layak untuk dapat mempelajari teknik tingkat tinggi.{nl} Aku akan melihat seberapa baik kamu dapat mengontrol teknik saat ini.
QUEST_UNUSED_20151116_001494	Any monster is fine, as long as you use your Highlander techniques to defeat them.{nl}Do this without the help of your colleagues.	아무 몬스터라도 좋으니 하이랜더의 기술을 써서 몬스터를 처치해보세요.{nl}동료 하이랜더의 도움은 받으실 수 없습니다.	Gunakanlah Skill Highlander untuk mengalahkan monster apapun.{nl} Kamu tidak dapat menerima bantuan dari teman Highlander.
QUEST_UNUSED_20151116_001495	Defeating monsters with the skills of Highlander. I think it's easy for the last assignment.	하이랜더의 기술로 몬스터를 처치. 마지막 과제치고는 쉬운 편이라 생각되는데요?	Kalahkan monster dengan Skill Highlander. Sebagai PR terakhir, ini termasuk gampang bukan?
QUEST_UNUSED_20151116_001496	I've seen you use the skills which you previously learned really well.{nl}You won't have a problem learning higher level skills without any problem.{nl}I think I can say to anyone proudly that I am the one who taught you the skills.	기존에 익혔던 기술들을 능숙하게 사용하시는 걸 보았습니다.{nl}상급 기술도 무리없이 배울 수 있겠군요.{nl}당신에게 기술을 전수한 것이 바로 저라고 누구에게든 자랑할 수 있을 것 같습니다.	Saya telah melihat pemakaian skill yang telah kamu dikuasai dengan baik saat ini.{nl} Skill tingkat tinggi dapat dipelajari tanpa kesulitan apapun.{nl} Sepertinya saya dapat membanggakan kepada siapapun, bahwa yang mengajarkan teknik kepada kamu adalah saya.
QUEST_UNUSED_20151116_001497	Looks like you have no problems in defeating demons.{nl}But you still need some practice for the more vicious ones.{nl}I can show you the way of a true Peltasta.	그 정도면 왠만한 마족들은 손쉽게 해치울 수 있겠네요.{nl}하지만 진짜 흉악한 녀석들을 없애기 위해서는 좀 더 정진하실 필요가 있습니다.{nl}제가 당신께 진정한 펠타스타의 길을 열어드리죠.	Dengan kemampuan seperti itu, maka dapat menghabisi para demon yang kuat dengan mudah ya.{nl} Tetapi untuk menghabisi demon yang sangat kuat, memerlukan sedikit lebih banyak dedikasi lagi.{nl} Aku akan membukakan jalan Peltasta yang sebenarnya kepada anda.
QUEST_UNUSED_20151116_001498	If you meet the requirements, that is.	하지만 최소한의 조건은 통과하셔야 합니다.	Tetapi kamu harus melewati syarat minimum yang ada.
QUEST_UNUSED_20151116_001499	I once was asked to get rid of the Chapparition in Karolis Springs.{nl}I couldn't finish the job at the time but now I think it could be a good test for you.{nl}Go to Karolis Springs and defeat the Chapparition there.	과거 카롤리스 샘터에 나타난 채퍼리션을 없애달라는 부탁을 받았었습니다.{nl}당시에는 미처 처리하지 못했는데 지금보니 당신의 시험상대로 적당한 듯 싶네요.{nl}카롤리스 샘터에서 채퍼리션을 해치우고 오세요.	Saya mendapatkan permintaan untuk menghabisi Chapparition yang muncul di Karolis Fountain masa lalu.{nl} Pada waktu itu saya tidak dapat membereskannya, tetapi sepertinya ia layak dijadikan subjek ujian anda.{nl} Tolong habisi Chapparition di Karolis Fountain.
QUEST_UNUSED_20151116_001500	Chapparitions are not hard if we think about the courage that you've shown us so far.{nl}Don't worry too much.	여태까지 보여주신 용맹을 생각하면 채퍼리션 정도는 손쉬운 상대일 것입니다.{nl}너무 걱정 마세요.	Jika melihat keberanian yang kamu miliki hingga saat ini, sepertinya Chapparation bukanlah lawan yang sulit.{nl} Janganlah terlalu khawatir.
QUEST_UNUSED_20151116_001501	Very good! I can now acknowledge you as a fellow soldier.{nl}I should report to the master individually.{nl}I will show you the true power of Peltastas with my authority.	훌륭합니다! 그 정도 실력이라면 제가 전우로 인정해드릴만하군요.{nl}마스터께는 따로 보고를 드려야겠군요.{nl}우선 저의 권한으로 당신께 펠타스타의 진정한 힘을 알려드리겠습니다.	Luar biasa! Dengan kemampuan seperti itu, maka akan kuakui sebagai sesama kami yang layak.{nl} Saya harus melaporkan secara terpisah kepada master.{nl} Pertama-tama dengan wewenang yang saya miliki, akan kuberitahukan kekuatan yang sebenarnya dari Peltasta kepada anda.
QUEST_UNUSED_20151116_001502	I'm surprised by how much you improved.{nl}I can tell you're different from other Hoplites. {nl}You'll have no problems in becoming even stronger. So, are you ready for the next stage?	당신의 성장은 놀라울 정도로군요.{nl}다른 하플라이트들과는 무언가 다른 것이 느껴집니다.{nl}당신이라면 좀 더 강해질 수 있을 겁니다. 다음단계로 나아갈 준비는 되셨습니까?	Perkembangan kamu sungguh mengejutkan rupanya.{nl} Terasa suatu perbedaan dibandingkan dengan Hoplite lainnya.{nl} Kamu akan dapat menjadi lebih kuat lagi. Apakah kamu sudah siap untuk tahap yang berikutnya?
QUEST_UNUSED_20151116_001503	There is a monster which I faced long time ago.{nl}It ran away and I was worried that it may hurt the other people.	제가 과거 상대하던 몬스터가 하나 있습니다.{nl}도중에 녀석은 도망쳐버렸고 저는 사람들이 피해를 입지 않을지 전전긍긍했지요.	Ada satu monster yang pernah kuhadapi di masa lalu.{nl} Ditengah-tengah ia melarikan diri, saya khawatir apakah ia telah melukai orang-orang di sekitar atau tidak.
QUEST_UNUSED_20151116_001504	There is a rumor that he appeared again.{nl}Please kill it on behalf of me.{nl}And as a proof, please bring me the chisel that is on the body of the monster.	최근 그 녀석이 다시 나타났다는 소문이 있습니다.{nl}제 대신 녀석의 숨통을 끊어 주시기 바랍니다.{nl}그리고 그 증표로 아직도 녀석의 몸에 박혀있을 제 창 끝을 가져다 주십시오.	Belakangan muncul rumor bahwa ia kembali muncul lagi.{nl} Tolong gantikan saya untuk menghabisi dirinya.{nl} Lalu tolong bawakan ujung tombakku yang masih tertancap pada tubuhnya sebagai tanda akan hal itu.
QUEST_UNUSED_20151116_001505	Defeat Sparnasman at 64_2 of Bracken Monastery and bring me the tip of my spear.	고사리 수도원64_2에서 스파나스맨을 처치하시고 제 창 끝을 가져다 주세요.	Bunuhlah Sparnasman di Bracken Monastery64_2 dan bawalah ujung tombak milikku.
QUEST_UNUSED_20151116_001506	Yes, that's the end of the spear I used to attack it back then.{nl}Now we can finally say it was us the Hoplites who defeated the beast.	확실히 그것은 제가 과거 녀석의 몸에 박아넣었던 창의 끝부분이 맞군요.{nl}녀석은 우리 유능한 하플라이트가 쓰러뜨렸노라고 여기저기 자랑할 수 있겠습니다.	Itu adalah benar merupakan ujung tombak milikku yang tertancap pada tubuhnya di masa lalu.{nl} Ia telah menghabisi Hoplite berbakat kami, dan membanggakan dirinya disana sini.
QUEST_UNUSED_20151116_001507	Hmm... You've become very strong.{nl}I didn't know that you've completed the training that hard. You will be able to learn the skills of the next stage.	흠... 제법 강해졌구만?{nl}그 정도까지 수련을 해내다니, 다음 단계의 기술도 배울만 하겠어.	Hmm... Cukup bertambah kuat rupanya?{nl} Jika melakukan latihan hingga setingkat itu, maka kamu layak untuk belajar skill tingkat berikutnya.
QUEST_UNUSED_20151116_001508	Of course, I can't just teach you for free. Prove the strength you have!{nl}Without any enhancement effects on your body, come back after defeating the monsters at Feretory Hills.	물론 그저 가르쳐 줄 수는 없지. 자네가 가진 힘을 증명해보게!{nl}신체에 아무런 강화효과를 받지 않는 상태에서 페레토리 구릉의 몬스터들을 처치하고 오게.	Tentu, saya tidak bisa mengajarkan hanya begitu saja. Buktikanlan kemampuan yang kau miliki!{nl} Kembalilah setelah membunuh para monster di Feretory Hills dalam kondisi tidak menggunakan efek enhancement apapun pada tubuh.
QUEST_UNUSED_20151116_001509	And of course, don't ask your friends to help you with this.	물론 동료의 도움따위를 받아서야 의미 없지.	Tentu saja jika kamu mendapatkan bantuan dari kawan, maka ini semua tidak ada artinya.
QUEST_UNUSED_20151116_001510	Prove the strength of the sword.	순수하게 그 검의 위력만을 증명해 보게.	Tolong buktikan kekuatan dari pedang itu secara murni.
QUEST_UNUSED_20151116_001511	You are way more useful than I expected.{nl}My brother would be glad to know that a competant lad like you became a Barbarian.	자네 생각 이상으로 쓸만한 것 같군.{nl}이런 인재가 바바리안으로 들어온 것을 알면 형님도 기뻐하시겠어.	Kau hebat melebihi dugaanku rupanya.{nl} Kakak pasti senang jika mengetahui bahwa orang seperti ini kembali sebagai Barbarian.
QUEST_UNUSED_20151116_001512	You know well about the structure of the shield.{nl}You can come to me anyime to learn.	방패의 구조에 대해 제법 아는 친구로군.{nl}내게 배우러 얼마든지 찾아 와도 좋아.	Kamu cukup mengetahui tentang struktur perisai rupanya.{nl} Sangat baik kapanpun kamu datang mencariku untuk belajar.
QUEST_UNUSED_20151116_001513	Cataphract. {nl}I don't know if it would fit you well.	캐터프랙트라. {nl}자네에게 어울릴지는 잘 모르겠는데.	Cataphract. {nl} Entah apakah ini akan cocok denganmu atau tidak.
QUEST_UNUSED_20151116_001514	I like your guts.{nl}Do me a favor and defeat the demons in Feretory Hills.	패기는 마음에 드는군.{nl}그렇다면 페레토리 구릉의 마족들을 처치해보게.	Saya suka akan ambisimu.{nl} Kalau begitu bunuhlah para demon di Feretory Hills.
QUEST_UNUSED_20151116_001515	After Medzio Diena, Feretory Hills has been crawling with demons.{nl}Go and defeat the demons there.	신수의 날 이후 페레토리 구릉은 어느샌가 마족들이 들끓는 곳이 되어 버렸지.{nl}그 곳의 마족들을 처치하게.	Setelah hari Medzio Diena, Feretory Hills menjadi tempat bermukim para demon.{nl} Bunuhlah para demon di tempat itu.
QUEST_UNUSED_20151116_001516	I think you would be able to reach a higher level Krivis.{nl}Do you want to receive the test?	당신의 실력이라면 좀 더 높은 경지의 크리비가 되실 수 있을 것 같군요.{nl}시험을 받아 보시겠습니까?	Dengan kemampuan anda, sepertinya bisa menjadi Krivi dengan tingkatan lebih tinggi rupanya.{nl} Maukah kamu menjalankan ujian?
QUEST_UNUSED_20151116_001517	Take this gem and go to Feretory Hills.{nl}After you injure the monsters, use the power of the gem to purify them.{nl}Then, bring back their ashes.	이 보석을 가지고 페레토리 구릉으로 가세요.{nl}몬스터들에게 상처를 입힌 다음 보석의 힘으로 몬스터를 정화하시기 바랍니다.{nl}그러면 재가 남을텐데 그것을 가져오세요.	Bawalah Gem ini, dan pergilah ke Feretory Hills.{nl} Murnikanlah monster dengan kekuatan Gem setelah melukai mereka terlebih dahulu.{nl} Kalau begitu tolong bawakan itu kepadaku ya.
QUEST_UNUSED_20151116_001518	Don't worry. It is the sacred flame so it would not harm you.	안심하세요. 성스러운 불꽃의 기운이니 당신에게는 해가 없을 겁니다.	Tenang saja. Karena itu adalah kekuatan suci firework, maka tidak akan melukai anda.
QUEST_UNUSED_20151116_001519	This effectively proves your skills. {nl}Congratulations on reaching the last level of Krivis.{nl}I hope you will keep using your power to help those in need.	이것으로 당신의 실력이 입증되었군요.{nl}크리비로서 마지막 단계에 들어서신 것을 축하드립니다.{nl}앞으로도 그 힘으로 어려운 이들에게 도움을 주시기 바랍니다.	Dengan ini kemampuan kamu telah diakui.{nl} Saya ucapkan selamt karena telah melewati tahapan terakhir Krivi.{nl} Ke depannya pun, semoga kekuatan itu dapat membantu mereka yang kesulitan.
QUEST_UNUSED_20151116_001520	Now, it is time to leave for a far place and spread the blessing of the goddesses.{nl}But, we never know what kind of dangers are ahead of us.{nl}Especially the times like nowadays.	이제 먼 곳으로 떠나 여신의 은총을 퍼뜨리셔야 할 때가 온 것 같군요.{nl}하지만 여행길에는 어떤 위험이 도사리고 있는지 모르는 법.{nl}지금같은 시기에는 더욱 그렇지요.	Sekarang sepertinya adalah waktu untuk menyebarkan berkat Goddess dengan pergi ke tempat jauh.{nl} Tetapi tidak ada yang tahu bahaya apa yang akan menghadang di perjalanan nanti.{nl} Apalagi di saat seperti sekarang ini.
QUEST_UNUSED_20151116_001521	Please show us that at least you can protect yourself.	그대가 최소한 스스로는 지킬 수 있는지 보여주시기 바랍니다.	Kamu harus memperlihatkan masing-masing apakah dapat menjaga diri sendiri paling tidak.
QUEST_UNUSED_20151116_001522	The monsters at Feretory Hills would be enough.{nl}Come back after defeating them.	페레토리 구릉의 몬스터 정도면 적당하겠군요.{nl}그들을 소탕하고 돌아오시기 바랍니다.	Monster di Feretory Hills sepertinya cukup.{nl} Kembalilah setelah menghabisi mereka.
QUEST_UNUSED_20151116_001523	We can't save other people by just relying on the divinity.{nl}There are times that we need to use some force.	신성에 기대어서만은 사람들을 구제할 수 없는 법이지요.{nl}때로는 무력을 필요로 할 때도 있습니다.	Kita tidak dapat menolong orang-orang hanya dengan berharap pada kesucian saja.{nl} Terkadang ada waktunya membutuhkan kekuatan juga.
QUEST_UNUSED_20151116_001524	You won't have any trouble travelling far away.{nl}As a priest, please keep your mind and do your duties with all your heart.	그 정도라면 먼 여행을 떠나셔도 무리는 없겠군요.{nl}프리스트로서의 마음가짐을 항상 가슴에 새기고 그대의 사명을 다 하십시오.	Jika dengan kemampuan itu, maka tidak akan ada kesulitan jika pergi berkelana jauh pun.{nl} Pergilah melakukan tugas dengan teringat bahwa kamu adalah seorang Priest.
QUEST_UNUSED_20151116_001525	Now is the time to proceed to the next level of Bokor.{nl}I want to forecast your future as one of your collegues.{nl}Face the violent monsters and please bring me the cards that they drop.	보코르의 다음 단계로 나아가실 때가 되었군요.{nl}이제 입문자가 아닌, 같은 길을 걸어나가는 동료로서 당신의 미래를 점쳐보고 싶네요.{nl}흉포한 몬스터를 상대하시고 그들이 떨구는 카드를 가져다 주세요.	Waktunya telah datang untuk melanjutkan ke tingkat selanjutnya dari Bokor.{nl} Sekarang sebagai kawan yang berjalan berjalan di jalan sama, bukan sebagai pendatang baru, aku ingin meramalkan masa depan anda.{nl} Hadapilah monster yang brutal, dan bawakanlah kartu yang mereka jatuhkan.
QUEST_UNUSED_20151116_001526	The master told me that it is already decided that who and what cards will be brought.{nl}However, with my skills, I don't know what cards you would bring.	마스터께서는 누가 어떤 카드를 가져오게 될지는 모두 정해져 있다고 하시지요.{nl}하지만 제 능력으로는 당신이 어떤 카드를 가져오실지 알 수가 없네요.	Master berkata ia dapat mengetahui kartu apa yang dimiliki oleh seseorang, karena semua telah ditentukan.{nl} Tetapi dengan kemampuan saya, saya tidak tahu kartu apa yang kamu miliki.
QUEST_UNUSED_20151116_001527	The light, the salavation, the vice and the cursed jewel..? These are the everything I can read.{nl}They are all rarely written. Especially the last word is significant.	빛과 구원, 징악. 저주받은 보석...? 제가 읽어낼 수 있는 단어는 이 정도로군요.{nl}모두 좀처럼 나오지 읽히지 않는 단어들입니다. 특히 마지막 단어가 의미심장하네요.	Cahaya dan keselamatan, Hukuman atas kejahatan. Gem yang terkutuk...? Kata-kata yang dapat terbaca olehku hanya sejauh ini saja.{nl} Semua  yang muncul adalah kata-kata yang tidak terbaca dan sangat jarang. Terutama kata terakhir sungguh signifikan ya.
QUEST_UNUSED_20151116_001528	It's your duty to interpret them.{nl}But, you look like someone with the abnormal destiny unlike other people.{nl}I hope that you can fulfill all your duties.	해석은 당신의 몫입니다.{nl}하지만 당신은 다른 사람들과는 다른, 커다란 운명을 짊어진 분 같군요.{nl}부디 당신에게 내려진 사명을 다하실 수 있기를 바라겠습니다.	Tafsiran itu adalah jiwa anda.{nl} Tetapi kamu sepertinya adalah orang yang memiliki nasib besar, yang berbeda dengan orang lainnya.{nl} Kuharapkan kamu dapat melakukan semua tugas yang diberikan kepada anda.
QUEST_UNUSED_20151116_001529	When I was parted with Tesla, he gave me an assignment.{nl}I have to carve some special sculpture, but the materials are hard to obtain.{nl}He told me to request to someone who can be relied on and I think you are the right person.	테슬라님과 마지막으로 헤어지던 때, 제게 숙제를 내 주신 것이 있지요.{nl}특별한 조각을 깎아내야 하는 과제인데 재료부터가 만만치가 않아요.{nl}믿을만한 사람에게 부탁하라고 말씀하셨는데 마침 당신이 계시네요.	Ketika berpisah terakhir kalinya dengan tuan Tesla, ada sebuah PR yang diberikan kepada saya.{nl} PR untuk memotong potongan yang spesial, tetapi bahannya tidaklah mudah.{nl} Ia menyuruhku untuk meminta tolong pada orang untuk mencari bahan itu, dan kurasa kamu adalah orang yang tepat.
QUEST_UNUSED_20151116_001530	Go to Braken Monastery 64_2 and you will see Sparnasman monsters.{nl}Defeat them in the XXX region and bring me their horns.	고사리 수도원64_2에서 스파나스맨이란 몬스터를 마주치실 수 있을 거에요.{nl}XX지역에서 녀석을 쓰러뜨리고 녀석의 머리에 난 그 뿔을 가져다 주세요.	Kamu akan bertemu dengan monster yang bernama Sparnasman di Bracken Monastery 64_2.{nl} Tolong bawakanlah tanduknya kepadaku, setelah mengalahkannya di area XX.
QUEST_UNUSED_20151116_001531	He didn't ask me to save him myself, but he wants me to ask someone who can be relied on...{nl}I think he is also testing my benevolence.	직접 구하라고 하시지 않고 믿을만한 사람에게 부탁하라고 하시다니...{nl}제 인망도 같이 시험하시려는 게 아닐까요.	Ia tidak menyuruh untuk mencari secara langsung, tetapi meminta tolong kepada orang yang bisa dipercaya...{nl} Sepertinya ia juga mengetes kepopularitasan diriku juga.
QUEST_UNUSED_20151116_001532	You brought them well. I can tell they are the materials that I asked you.{nl}As I promised, I will teach you high level skills of Dievdirbys.	가져 오셨군요. 제가 부탁드린 재료가 틀림 없네요.{nl}약속대로 딥디르비의 상위 기술을 가르쳐 드릴게요.	Kau telah membawakannya rupanya. Tidak salah lagi ini material yang kuminta tolong padamu.{nl} Sesuai janji akan kuajarkan skill tingkat atas Dievdirbys.
QUEST_UNUSED_20151116_001533	You want to enter the way of Sadhu?{nl}Okay. Although it's hard for me to take the official test since only my spirit is here...{nl}I will test you with my method.	사두의 길에 입문하시겠습니까?{nl}좋습니다. 비록 저는 유체만이 이곳에 있어 정식 시험을 치루기는 무리입니다만...{nl}나름의 방식으로 당신을 시험해 보겠습니다.	Apakah kamu mau berjalan di jalan Sadhu?{nl} Baiklah. Karena Spirit Form berada disini, sulit untuk melakukan ujian...{nl} Akan kutes kamu dengan cara tertentu.
QUEST_UNUSED_20151116_001534	I'm going to give you my energy.{nl}Use the energy at Feretory Hills and it will blend in with part of the monsters' spirits.	저의 기운을 당신에게 전달해 드릴 것입니다.{nl}페레토리 구릉에서 그 기운을 사용하시면 몬스터의 영혼 일부가 섞이게 됩니다.	Aku akan memberikan energiku kepada anda.{nl} Jika menggunakan energi itu di Feretory Hills, maka akan bercampur sebagian dengan jiwa monster.
QUEST_UNUSED_20151116_001535	Defeat the monsters with my energy imparted to collect their spirits, then bring them to me. {nl}Do this without the help of anyone.	영혼이 섞인 몬스터를 처치하시고 영혼을 흡수한 다음 돌아오세요.{nl}단, 이 시험은 동료의 도움은 받으실 수 없습니다.	Bunuhlah monster yang bercampur jiwanya, dan kembalilah setelah menyerah jiwa itu.{nl}Tetapi, Ujian ini tidak bisa dilakukan dengan mendapat bantuan dari teman.
QUEST_UNUSED_20151116_001536	It seems that the spirits of the monsters are not enough yet.{nl}I can't open the way of Sadhu yet.	아직 몬스터의 영혼이 충분치 않은 것 같군요.{nl}아직은 사두의 길을 열어드릴 수 없습니다.	Sepertinya jiwa monster masih belum cukup.{nl} Saya masih belum bisa membukakan jalan dari Shadu.
QUEST_UNUSED_20151116_001537	I can feel the great power of the spirit in you...{nl}I can tell how great is your competence. Congratulations on your entrance to the way of Sadhu.{nl}I will teach you the skills of Sadhu although only my spirit is here.	당신에게 충만한 영혼의 힘이 느껴집니다...{nl}당신의 능력은 잘 알겠습니다. 사두로의 입문을 축하드리겠습니다.{nl}유체로나마 당신에게 사두의 기술을 알려드리지요.	Terasa kekuatan dari jiwa yang penuh pada diri Anda...{nl}  Ketahuilah dengan baik kekuatan anda. Selamat atas keberhasilan menjadi Shadu.{nl} Tinggalkan Spirit Form, maka akan kuajarkan teknik Shadu kepada anda.
QUEST_UNUSED_20151116_001538	You want to enter the way of Paladin?{nl}It is different from other priestsl. In order to become a Paladin, you have to possess strong power.	팔라딘에 입문하시려는 건가요?{nl}다른 성직과는 다릅니다. 팔라딘이 되려면 그만큼 강한 힘이 뒷받침 되어야합니다.	Apakah kamu bermaksud bergabung dengan Paladin?{nl} Kami berbeda dengan class suci lainnya. Jika ingin menjadi Paladin, maka harus diikuti dnegan kekuatan kuat.
QUEST_UNUSED_20151116_001539	Good. You're skilled.{nl}Okay then, shall I test you? Come back after defeating monsters at Feretory Hills.	좋습니다. 자신만만하시군요.{nl}그럼 시험해볼까요? 페레토리 구릉의 몬스터들을 처치하고 오세요.	Bagus. Penuh percaya diri rupanya.{nl} Kalau begitu mari coba kutes ya? Kembalilah setelah membunuh para Monster di Feretory Hilss.
QUEST_UNUSED_20151116_001540	We, Paladins stand at the front line when we fight against the demons.{nl}With the uncertain skills you have, you would soon experience something unfortunate.	우리 팔라딘은 마족과의 싸움에서 최전선에 서 있는 자들입니다.{nl}어중간한 실력으로는 뜻이 좋더라도 금방 불행한 일을 당하고 말겁니다.	Kami Paladin, adalah orang yang berdiri di baris paling depan pada pertempuran dengan Demon.{nl} Dengan kemampuan yang tanggung, dapat menimbulkan kemalangan sekejap.
QUEST_UNUSED_20151116_001541	You've done well way better than I expected.{nl}As I promised, I will appoint you as a Paladin on behalf of the Master.	기대 이상으로 잘 해 주셨네요.{nl}약속대로 마스터를 대신해서 당신을 팔라딘으로 임명하겠습니다.	Kamu melakukan lebih baik diluar dugaan.{nl} Sesuai janji,saya menggantikan Master akan mengangkat kamu sebagai Paladin.
QUEST_UNUSED_20151116_001542	I can now call you a Rodelero.{nl}However, in order to become stronger, sometimes you should know your strength as well.	그 정도면 어엿한 로델레로라 할 수 있겠어.{nl}그러나 진정 강해지기 위해서는 때로는 자신의 강점을 포기할 줄도 알아야지.	Dengan kemampuan itu, bisa disebut sebagai Rodelero yang terhormat.{nl} Tetapi untuk menjadi sangat kuat, terkadang harus mengetahui cara menyerah akan kelebihan diri sendiri.
QUEST_UNUSED_20151116_001543	You seem ready.{nl}If so, go to the Apsimesti Crossroads without your shield and defeat the monsters there.	준비는 된 것 같군.{nl}그렇다면 방패를 착용하지 않은 상태에서 압시메스티 교차로의 몬스터를 해치우고 와.	Sepertinya telah selesai bersiap.{nl} Kalau begitu, kembalilah setelah menghabisi monster di Apsimesti Crossroad dalam keadaan tidak menggunakan perisai.
QUEST_UNUSED_20151116_001544	You know you need to do this on your own, right?	물론 혼자서 해내야 한다는 정도는 알겠지?	Kau sudah tahu harus melakukannya sendirian bukan?
QUEST_UNUSED_20151116_001545	The shields are the most reliable colleague of Rodelero.{nl}But, a Swordsman should be strong himself.	방패는 로델레로의 가장 듬직한 전우지.{nl}하지만 전사라면 스스로 강해야할 필요가 있다.	Perisai merupakan kawan yang paling terpercaya miliki Rodelero.{nl} Tetapi seorang ksatria perlu untuk memperkuat dirinya sendiri.
QUEST_UNUSED_20151116_001546	I was able to check the potential again.{nl}As you know, my teaching is very strict so you should be well prepared.	다시 한 번 그 가능성을 확인할 수 있었다.{nl}알다시피 내 가르침은 엄격하니까 단단히 각오해야 할 거야.	Dapat memeriksa kemungkinan itu sekali lagi.{nl} Seperti yang diketahui, kamu harus bersiap dengan baik karena saya mengajar dengan ketat.
QUEST_UNUSED_20151116_001547	Are you any good with the spear now?{nl}If so, ger ready to become a true Cataphract.{nl}How's you companion's condition?	어때, 이제 찌른다는 게 뭔지 알겠나?{nl}그럼 진정한 캐터프랙트로 거듭나기 위한 준비를 해보세.{nl}자네 컴패니언의 상태는 양호한가?	Bagaimana, Apakah kamu tahu apakah yang mencolok?{nl} Maka bersiaplah untuk menjadi Cataphract yang sebenarnya.{nl} Apakah kondisi dari Companion kamu baik?
QUEST_UNUSED_20151116_001548	Good. Imagine your arms are the spear that'll strike your opponents.{nl}And your legs are the companion that moves you around.{nl}Go to the Apsimesti Crossroads and defeat your enemies while mounted on your companion.	좋아. 어떤 적도 꿰뚫을 수 있는 창이 자네의 팔이라고 치지.{nl}그렇다면 다리는 단연 기동력을 제공해주는 자네의 컴패니언이라고 할 수 있을걸세.{nl}컴패니언에 올라탄 채로 압시메스티 교차로의 적들을 토벌하고 오게.	Bagus. Tanganmu bisa disebut sebagai tombak yang dapat menembus musuh seperti apapun.{nl} Jika begitu, kaki kamu bisa disebut sebagai companion yang menjadi pilar penyanggah anda.{nl} Hukumlah para musuh di Apsimesti Crossroad dengan menaiki Companion.
QUEST_UNUSED_20151116_001549	If you don't get used to fighting agaist the others while mounted on a companion, give up on Cataphract.{nl}You don't have travel sickness right?	컴패니언을 타고 싸우는 전투에 익숙해지지 않는다면 캐터프랙트는 포기하게.{nl}설마 멀미하는 것은 아니겠지?	Naiki Companion dan jika tidak terbiasa pada pertempuran, menyerahlah untuk menjadi Cataphract.{nl} Jangan bilang kamu mabuk kan?
QUEST_UNUSED_20151116_001550	You are going to become a good cavalry after the kingdom gets reconstructed in the future.{nl}Of course, until then, use the skills that I will teach you and do your duties at your best.	자네라면 추후 왕국이 재건된 후에 훌륭한 기병이 될 수 있겠어.{nl}물론 그때까지 내가 가르쳐 주는 기술을 이용해서 자네의 사명을 다하게.	Kamu dapat menjadi pasukan kavalry hebat setelah kerajaan dibangun kembali.{nl} Tentu saja, sampai saat itu kamu harus melakukan misi kamu dengan menggunakan skill yang saya ajarkan.
